,bact_name,Nortriptyline,NHQ,Indole-2-carboxylic acid,MLS000736964-01!,PQS/HQNO,2-Heptyl-4-hydroxyquinoline N-oxide,19-Norepiandrosterone,16.beta.-Hydroxyfurazabol,"(2S,3S)-(-)-3-Phenylglycidol",MLS001401453-01!ZOLPIDEM TARTRATE,MLS000737174-01!,"1(6H)-Pyridazinebutanoic acid, 6-imino-3-(4-methoxyphenyl)-",3-Phenoxypropionic acid,4-(1-Piperazinyl)-1H-indole, Lyso-Sphingomyelin ,"2-Methylamino-1-(3,4-methylenedioxyphenyl)propan-1-one",Gliotoxin,3-(2-Hydroxyethyl)indole,Rha-Rha-C10-C10 (M+H),Massbank:FIO00114 Harman,Phenazine-1-carboxylic Acid,2-Hydroxy-7-methylquinoline-3-carbaldehyde, 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine ,PC(0:0/18:0);  C26H55N1O7P1, Sertraline ,Norbolethone,Pyochelin,2-Hydroxy-6-methylquinoline-3-carbaldehyde,"NCGC00380742-01_C22H25N3O3_9-Methoxy-12-(2-methyl-1-propen-1-yl)-1,2,3,5a,6,11,12,14a-octahydro-5H,14H-pyrrolo[1'',2'':4',5']pyrazino[1',2':1,6]pyrido[3,4-b]indole-5,14-dione",L-Tryptophan, Lyso-PC(16:0) ,"NCGC00385669-01!(E)-3-(acetyloxymethyl)-5-(2-formyl-4-hydroxy-5,5,8a-trimethyl-1,4,4a,6,7,8-hexahydronaphthalen-1-yl)pent-2-enoic acid","1H-Indole-3-carboxylic acid, 1-(cyclohexylmethyl)-",L-Tryptophanamide,Coproporphyrin I, Palmitoylcarnitine , DL-Indole-3-lactic acid , Dibutyl phthalate ,Aztreonam,"C9:db-PQS, C9:DB-NQNO",1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine,Azithromycin,Tyr-Trp, 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine ,4-(p-Methoxyphenyl)-2-butanone,"NCGC00169614-02_C24H21N5O4_(1S,3S,12S,14R,27S)-12-Hydroxy-1,3-dimethyl-2,5,15,23,25-pentaazaheptacyclo[12.10.2.1~2,5~.0~6,11~.0~12,27~.0~15,24~.0~17,22~]heptacosa-6,8,10,17,19,21,23-heptaene-4,16,26-trione",PC(20:0/20:4);  C48H89N1O8P1," 1,2-Diarachidonoyl-sn-glycero-3-phosphocholine ","Massbank:UF408702 Sulfamethoxazole|4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide",cis-Vaccenic acid," Inosine, 2'-deoxy- ","NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate", Tris(2-butoxyethyl) phosphate , Harmane ," 1-Octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine ", 1-Octadecyl-sn-glycero-3-phosphocholine , 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine , Abrine , Azithromycin , 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine ,Ivacaftor,Eicosanoids_12-oxoETE_C20H30O3,(-)-Riboflavin,"5S-Hydroxy-6E,8Z,11Z-eicosatrienoic acid", 1-Behenoyl-2-hydroxy-sn-glycero-3-phosphocholine , Phe-Pro ,"10E,12Z-octadecadienoic acid",1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,DescladinoseAzithromycin,SM(d18:1/25:0);  C48H98N2O6P1,Octocrylene,.gamma.-Phenyl-.gamma.-butyrolactone, Glu-Phe ,7-Oxocholesterol, 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine ,"2,3-Methylenedioxymethcathinone","1,2-Dimethoxy-4-(2-propenyl)benzene",PC(18:1/20:5);  C46H81N1O8P1,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole", N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine ,3-Hydroxymethylmefenamic acid,1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine,NHQ_C9:db," 1,2-Diheptadecanoyl-sn-glycero-3-phosphocholine ","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",Gly-Phe, Sulfadimethoxine , Coproporphyrin I ,NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid, 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine , Ethenzamide ,PC(O-18:0/18:1);  C44H89N1O7P1,N-(3-(Aminomethyl)benzyl)acetamidine,MLS000777209-01!phenazine-1-carboxylic acid,Massbank:FIO00571 Caffeine,2-(4-Acetylpyridin-2-yl)benzonitrile," 1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine ",D-erythro-C18-Sphingosine, PAF C-16 , 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine ,"2,6-Di-tert-butyl-4-hydroxymethylphenol", 1-Lignoceroyl-2-hydroxy-sn-glycero-3-phosphocholine , 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine ,"NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one",19-Hydroxycholesterol,Putative Contaminant,NCGC00180497-02!,1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine,Lumisterol 3,1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol), 1-Myristoyl-sn-glycero-3-phosphocholine ,LysoPAF, 3-Indoleacetic acid , 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine ,GalNAcbeta1-3Galalpha1-3Galbeta1-4Glcbeta-Cer(d18:1/16:0), 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine ,PC(16:0/18:0);  C42H85N1O8P1,2-Hydroxyphenethyl alcohol,PC(16:0/20:1);  C44H87N1O8P1, 1-Hexadecanoyl-sn-glycero-3-phosphocholine , 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine ,Guanosine, 1-Linoleoylglycerol ,MLS001332469-01!D-Sphingosine123-78-4,SM(d18:2/16:0);  C39H78N2O6P1,Ethyl 4-hydroxyquinoline-2-carboxylate,PC(18:1/22:4);  C48H87N1O8P1,18:1(2S-OH) Ceramide,"Massbank:EA019911 Trimethoprim|2,4-Diamino-5-(3,4,5-trimethoxybenzyl)pyrimidine|5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",SM(d19:1/24:0);  C48H98N2O6P1, D-erythro-C18-Sphingosine ,HHQ,2-(9H-Xanthen-9-yl)-malonic acid,PC(15:0/16:0);  C39H79N1O8P1,Massbank:PR040237 4-Methoxycinnamic acid|3-(4-methoxyphenyl)prop-2-enoic acid,UHQ (mixed MS2 C11:db:UHQ),C11:DB UHQ aka  2-undecenyl-quinoloin-4(1H)-one position of double bond unknown,1-Hexadecyl-sn-glycero-3-phosphocholine,C17-Sphinganine,PC(O-18:1/20:4);  C46H85N1O7P1,PC(17:0/18:1);  C43H85N1O8P1,phenylethylamide 359,Verruculogen,PC(O-16:0/O-16:0);  C40H85N1O6P1
0,k__Bacteria,0.027980028,0.04207398,0.03908596,0.055451978,0.04893936,0.00019078163,0.023949444,-0.09089457,-0.052961536,0.034164492,-0.08424222,0.063666135,-0.008014999,-0.008190092,-0.050137863,-0.014281295,-0.000622022,-0.006236098,-0.016504623,0.0069857063,0.049378056,-0.033718184,0.043709517,-0.10080913,-0.031411022,-0.08067057,-0.033661492,-0.056182005,0.030571548,-0.023731025,0.07821107,0.053604852,0.06315425,0.01503788,-0.11387581,0.061359454,0.045764226,-0.06620803,0.02917334,-0.009196418,0.11546101,0.036674093,0.013937583,-0.005614661,-0.066055596,-0.00381937,-0.00229464,0.004022049,0.0053606634,0.081576616,0.010535804,-0.044452075,-0.02304062,0.020167476,-0.056096878,0.018928597,0.023008484,0.08272406,0.058958586,-0.010452127,-0.04383032,-0.052151226,-0.031986985,-0.019054426,0.054122664,0.0174676,-0.08438498,-0.013895868,0.03390535,-0.093741044,0.09470256,-0.0033236756,-0.02573158,0.07517928,0.013911928,0.013673824,0.05262913,-0.050129637,-0.013881457,-0.02552105,0.012587125,0.016451513,-0.059230946,-0.050293747,0.080038615,0.020184543,0.0064979647,-0.04454034,0.0017366181,-0.028048107,0.009691473,0.005314329,-0.014092524,-0.08118662,-0.009555982,0.03673302,-0.0025233538,0.05907582,0.08679775,0.062190212,-0.08543351,-0.065082185,-0.007054173,-0.012512039,0.027723301,-0.0753474,-0.021493971,0.0714643,-0.025477756,-0.075231105,-0.057372347,-0.03259267,-0.059965275,-0.02661635,0.0025504676,0.05247006,0.019538967,0.035950623,0.01640266,0.027525365,0.05129555,0.052765418,0.024437945,-0.02915845,0.025745843,-0.004212888,0.02673658,0.019035434,-0.017422235,-0.0037161785,0.04386861,-0.02475841,-0.03015644,0.08113908,-0.028497653,-0.036268212,0.04801519,0.04082343,-0.027793985,-0.073478706,0.009138736,0.05175473,-0.040359423,0.060294423
1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,-0.044078793,-0.052026648,-0.020089857,-0.026587088,-0.02195209,0.009467705,-0.03300487,-0.038271807,0.0041853157,0.028219402,-0.026100582,0.009960024,0.014788806,0.041409783,0.030502269,-0.028623495,0.017574007,-0.047409877,-0.030156154,0.025747629,-0.0073089413,-0.008198075,-0.029843178,0.022313869,-0.027494524,0.01079371,0.054649264,0.026318075,0.027850173,0.013637756,0.01580473,0.02759323,-0.009368644,-0.02684545,-0.016837731,-0.030972712,0.05067716,0.011600081,0.05270931,0.01363837,0.037102107,-0.0011863089,0.012028323,-0.06703084,-0.04412705,-0.035582215,0.05563817,0.036806628,-0.07319666,-0.0039998544,0.012033276,-0.018353533,0.005308471,-0.012328801,0.017552689,-0.016975699,0.016850343,0.07354438,0.055866,0.034956954,-0.029962545,0.037509624,0.042622305,-0.017831823,0.001669709,-0.043578506,-0.015318033,-0.008127203,0.078913026,-0.0061942018,0.0059263753,-0.07540807,0.044391993,0.019402642,-0.03592439,-0.006273093,-0.034154534,0.038307287,-0.026765263,0.04544463,-0.0415683,0.043449588,0.0444566,0.043507412,0.04287885,-0.0519457,-0.026072133,0.028477965,-0.008517143,-0.0006880771,-0.008199867,0.031285062,-0.004144107,0.051058587,-0.03301235,-0.025452591,-0.052477933,0.012769655,0.031090138,-0.011101283,-0.038475018,-0.013748486,0.01132243,-0.027414734,-0.0033395425,0.00049088127,-0.020136833,-0.024240077,-0.06188512,-0.0010936493,-0.075138845,-0.018808285,-0.040140796,0.024517374,-0.05598984,0.023173653,0.0551741,0.027761364,0.025616946,0.011614467,-0.0064141173,0.024750283,-0.009465542,0.016528355,0.03871126,-0.01670987,0.051337477,0.03684057,-0.0503159,0.039022356,0.027220255,0.004118061,0.03378689,0.041311484,-0.020715678,0.015081643,-0.033629313,0.010453259,-0.041568182,0.00298764,0.018341241,0.012141416,-0.03305563,0.029358275
2,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium,-0.015829673,-0.05254098,-0.06366095,-0.03639364,-0.06431269,0.0023538137,-0.044288225,0.025120372,-0.009383037,0.009783201,0.042339835,-0.06723611,0.0050167846,0.070872344,-0.07041557,-0.0757258,0.0067837923,-0.026179206,0.026917737,-0.0020623752,-0.05170866,-0.033483397,0.03730443,-0.022881871,-0.089168794,-0.04707309,-0.06025198,0.0148536265,0.044437613,0.0064916075,0.04491001,0.056311794,-0.058998413,0.039934766,-0.012212782,-0.016320234,0.035070773,-0.02234888,0.017907508,-0.042864367,0.056068916,-0.0015043494,-0.0148279425,0.020707494,0.034053832,0.012838471,0.043375153,0.061061915,-0.022263732,0.03858638,0.0029004707,-0.04534588,0.04396755,-0.008828869,0.0007735499,0.0050547053,0.02162662,0.023223842,-0.0019817546,0.014010119,0.0027870538,0.023801317,-0.0467308,-0.030896658,0.040938877,0.036778353,-0.02205012,0.03008353,0.051756836,0.010558937,-0.003725577,0.029249353,-0.03638721,0.05197316,0.04698617,-0.06855391,-0.026200501,0.03567836,0.0037659777,0.03503157,0.040663015,0.031169586,-0.008742382,-0.015848618,0.030237561,0.04913894,-0.042585004,-0.017832754,-0.043269023,-0.014212884,-0.012264896,0.049274694,0.012440285,0.019873828,-0.05173668,0.0021088962,0.021520829,0.048680507,0.036386047,0.025226856,-0.012220179,-0.05348161,0.0054216925,-0.03519087,0.018982077,-0.03472098,0.019589895,0.05361152,-0.035293218,0.018079365,-0.060785886,-0.018201957,-0.03768608,0.022758093,0.043967746,0.010541291,0.04585823,0.005272544,0.035281558,-0.004679916,-0.012841971,0.013578761,0.011926948,0.024618618,0.046482567,0.00026617915,0.004117546,0.04329857,-0.043015018,0.019158095,0.012904828,0.0111824265,0.015432017,-0.004944469,-0.016230702,-0.01677261,-0.06511834,0.026410947,0.0040504504,-0.020375347,0.0021243487,0.028820686,-0.05412393,0.026219234
3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__dentocariosa,3.4088825e-05,0.029744696,0.0631457,0.014960705,0.06433551,0.078918524,0.02295124,-0.04669849,-0.03937633,-0.009977993,-0.038442675,0.05498071,-0.02849717,0.022685137,0.0005985985,0.098637216,-0.02868672,-0.007877711,-0.027351694,-0.01505107,0.0405794,-0.004987083,-0.09165114,0.06474293,0.054311395,0.05873939,0.10657824,-0.007353182,-0.0936808,0.01152091,0.008556127,-0.09537152,0.045295067,-0.05909662,0.0227271,-0.03431525,-8.828161e-05,0.024187881,-0.028613755,0.02944639,-0.003394587,0.010096414,0.012379689,-0.07160738,-0.055281,-0.087602064,0.051871713,0.0029483563,0.013940369,-0.04518277,0.039636582,0.034831736,-0.07052633,-0.04797837,-0.01544372,0.096298754,0.008475561,0.017845236,0.009317502,0.07795493,-0.0409503,0.026370727,0.051456653,0.0315976,-0.056224976,-0.080429114,-0.009572733,-0.05169041,0.06884794,-0.017991574,-0.01801027,-0.07558977,0.07833964,-0.02501819,-0.05314726,0.096915014,0.02971135,0.04577467,-0.057005093,-0.028555853,-0.08948091,0.09856576,-0.0018624454,0.043790948,-0.014971507,-0.09109957,0.026223512,0.007750034,0.048462257,0.016263194,-0.07498209,-0.016348947,-0.10181516,0.05321864,-0.006334414,-0.036849488,-0.06432992,-0.013465252,0.055311512,0.019324418,-0.03155904,-0.007970165,-0.008799933,-0.06920823,-0.002166023,0.009922588,-0.055387482,0.01325082,0.03638141,0.04117301,-0.038213767,-0.038153145,0.0003874372,-0.012041378,-0.11046188,0.01649321,0.015633743,0.017388044,-0.0035967284,0.054811835,0.028188406,-0.03609965,-0.003432304,-0.008332892,0.010952137,-0.021568904,0.079762295,0.017115772,-0.015482992,-0.012192693,0.03957037,-0.053433374,0.026675994,-0.0073903035,-0.048210047,0.002639565,0.048864946,-0.046577405,-0.022799877,0.02278679,0.012755282,-0.039218694,0.0073483484,0.033531357
4,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa,0.065686926,0.044491585,0.044987768,0.045389205,0.046822526,0.029966058,0.073530026,0.052792624,-0.01165655,-0.008222911,0.010749239,-0.02761307,-0.01468745,-0.07849624,0.033696394,-0.0004674573,-0.012470999,0.07356493,0.059839953,-0.014005264,0.049200512,-0.043364633,0.07112255,-0.040470332,0.0062100505,-0.0067352583,-0.06442501,-0.024696957,0.004937738,0.04380335,-0.083832495,-0.005987258,-0.015075023,0.012523677,-0.041445546,0.043652453,-0.023617413,-0.018892026,-0.006651076,0.07090937,-0.0076296655,-0.037623968,-0.0052539427,0.077898264,0.041698437,0.037410747,-0.06996493,-0.08231582,0.022268021,-0.033393726,-0.063289315,-0.025499392,-0.0059888614,-0.03269775,-0.031955298,-0.0999375,-0.07773179,-0.020073285,-0.06557168,0.0014859983,0.04491592,-0.0016609078,0.0386362,-0.033430062,0.06362901,0.041860253,-0.019322246,0.004178932,-0.07397703,0.014369532,0.061198212,0.091911204,-0.08700603,-0.035057236,0.009722935,0.0053654946,0.03908036,-0.049689468,0.007874752,0.014298943,0.041426912,-0.045932747,0.096901454,-0.01306898,-0.0075905966,-0.03207384,0.010814169,-0.0435593,-0.060071465,0.014648731,-0.036536958,-0.0077748923,0.07471146,-0.049734008,0.0045567118,0.100865774,0.054316334,-0.00029766312,-0.022690877,-0.06745702,0.013801065,-0.027492862,-0.013582392,0.02095536,-0.0510886,0.012345739,0.061059486,-0.043870226,-0.03828175,-0.046402365,-0.008335788,0.08228848,0.045658585,-0.0023105117,0.062395867,0.012206214,-0.08375038,-0.03132662,-0.027649216,-0.066982724,-0.08690395,-0.01660012,0.008950475,-0.04076796,0.029473763,0.08003136,-0.036883816,-0.003973344,0.0035328493,-0.039239585,-0.03258479,0.09265871,-0.047226682,-0.027642079,0.06080812,0.04968692,0.03947512,-0.024830537,0.04780233,-0.022725392,0.0008435079,-0.047521256,0.011134991,-0.016441457
5,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium,0.02773791,0.020494537,0.028095521,0.01848061,0.026054163,0.009472268,0.018397091,0.0068211816,-0.027724879,-0.0108654685,0.0010456644,-0.020889277,-0.01374163,-0.015785567,-0.04221035,-0.0112944,-0.01270493,0.016730346,0.011125649,-0.011564978,0.012204106,-0.021991126,0.010631769,0.0010394048,-0.02864511,-0.012782669,-0.02929147,-0.03352067,0.008559507,0.009580502,0.019712228,0.0052618724,-0.017092325,0.025744772,0.0052745817,0.010352504,-0.0062427204,0.012380745,-0.008182985,0.0071925567,0.023438582,0.010963848,-0.013802397,-0.0032972896,-0.0035583547,-0.00037385337,0.004472406,0.0033907443,0.009583799,0.0013686774,-0.024621584,-0.037583765,0.015446863,-0.0117639685,-0.01118396,0.022362156,0.013678742,-0.008952731,-0.005508206,-0.00038094216,-0.016016157,-0.022018993,-0.021411343,0.0026449317,-0.0054814215,-0.00036221714,-0.0006643565,0.018622898,-0.002176203,-0.023943622,0.02435232,0.0070589776,-0.01262654,0.013716722,0.022964885,-0.025767958,-0.026708491,-0.0063512432,0.0035209793,0.00050620706,0.0010252619,0.011373282,-0.04527611,-0.04224917,-0.0013124377,0.010598537,-0.037539456,-0.012037933,0.007590026,-0.004932072,0.028900545,0.010420787,-0.011813282,-0.007888078,-0.029055329,-0.017634463,0.005534575,0.025639111,0.028425958,0.025798375,-0.0076071136,-0.03743819,-0.012369678,0.00806658,0.019361308,-0.013079047,0.005323383,0.024467954,0.0066493987,0.0132166995,0.009494979,-0.012783986,-0.032141726,-0.015682388,0.0020611084,-0.01846592,0.011730412,-0.0036011585,0.011342968,0.0049925386,0.03621007,0.00533773,0.009654091,0.0200221,0.011286756,0.017656244,-0.0060248054,0.031814806,-0.021705542,0.006979827,-0.00075394183,0.025013976,0.014817914,-0.0011505582,-0.013882088,-0.0048665227,0.0071710567,0.0139199365,0.006145774,0.0006368345,0.0014778366,0.020611279,-0.03726286,0.0058603273
6,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Scardovia; s__,-0.008772235,0.015745606,0.012712026,-0.030780846,0.011423074,-0.031129248,0.01676837,0.010304215,0.0052837892,-0.008345628,-0.10211318,-0.009760808,-0.018374585,-0.05479971,0.032222733,0.09550437,-0.021906715,0.0151488315,0.015842343,-0.019861437,-0.017460309,0.036757804,-0.035435077,0.014114387,0.04768712,0.019941486,0.03163217,-0.0537231,0.03835025,-0.024267023,-0.012518596,0.02365228,-0.020294242,-0.037165392,0.017148059,-0.010960204,0.0061310814,0.036069013,-0.06532078,0.005654013,-0.036044396,-0.017291052,0.002918748,-0.0073329373,-0.027125962,-0.046130158,-0.05957064,-0.04209767,0.020020248,0.0013261316,0.028047247,0.046584737,-0.01632709,-0.029461859,-0.025710482,-0.004300915,-0.007812376,0.011503326,-0.000108416585,0.030559676,-0.039355382,-0.004899916,0.0734646,0.019190336,-0.0071744435,0.009393249,0.0073925024,0.07059374,-0.013753448,-0.0037392774,0.0017257239,-0.02663011,0.034393296,-0.02568719,-0.025792295,0.08712043,0.049227938,-0.03328629,0.054320943,0.0053533236,-0.0007020563,-0.0025269315,0.014092711,0.0009648086,-0.013278008,-0.0319092,0.004229281,0.06727746,0.03865681,0.04999108,0.058580007,-0.00028981976,-0.0008253761,-0.037122935,0.085075825,-0.019053929,-0.045555018,-0.07672484,-0.011722492,-0.032599077,0.009335112,0.0009358865,0.022737376,0.05655879,-0.011360556,0.012978297,-0.015327189,-0.06844801,0.019673541,0.018894138,0.06472652,0.027206933,0.06611383,-0.03446113,-0.028554969,-0.0007120587,-0.060269617,0.026301766,0.051101197,0.008793872,0.009641345,-0.0068683024,-0.049650665,-0.025775878,0.014948454,0.0010089873,0.0010699937,0.006920965,-0.020261204,-0.012832425,-0.05283007,-0.0019336886,0.018107224,0.0056034382,0.01969803,0.0028718496,0.030678893,-0.012286165,-0.005617207,-0.046144985,-0.014519333,-0.03298024,0.06007709,-0.054513663
7,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Atopobium; s__,0.109964676,0.11527252,0.14728978,0.13630974,0.1382103,0.121532165,0.11086854,-0.06503254,-0.032156643,-0.0013659516,0.03543556,0.121430725,0.0069548893,-0.041982803,-0.038243696,0.022924813,0.0034597602,0.07392551,-0.016181007,0.030637758,0.15221916,-0.0008547843,-0.015136939,-0.026466243,0.035588574,-0.03588462,0.01511609,-0.0074092313,-0.07390099,0.0025352219,0.014149127,-0.062744394,0.14981693,-0.006973114,-0.07876461,0.000652904,-0.021737363,-0.09610116,0.04361125,0.05785477,0.03387663,0.021883728,0.019647537,-0.0820772,-0.081359886,0.08305357,-0.016133554,-0.038402703,0.049841926,-0.029873356,-0.025196457,-0.061801247,-0.054932173,0.0121081555,-0.032855567,0.03634398,0.02182096,0.029228685,0.038432617,-0.048013583,-0.006850145,-0.0737283,0.00962213,-0.029385956,-0.0094078705,-0.038111605,-0.036779225,-0.07547596,0.011525807,-0.0809415,0.04281029,-0.042114023,-0.0006293359,0.02218961,0.024012543,-0.0038553022,0.012142127,-0.04546252,-0.07546163,-0.04017612,-0.03613492,0.018091075,-0.05595241,-0.040898003,0.019621342,-0.00063177163,0.016749155,-0.0323291,0.032114908,-0.0783382,-0.05791896,-0.039555173,-0.03620659,-0.0209998,-0.094649665,0.05488782,-0.03873134,0.06539192,0.041347966,0.04882056,-0.12054788,0.025014164,-0.053124603,-0.032213125,0.025805311,-0.055599466,-0.0638579,0.07392084,-0.007892547,-0.016684268,-0.08763605,-0.0777453,-0.07788214,-0.012078804,-0.04715539,-0.02356622,0.035717074,0.0039504725,-0.017141186,0.033269357,0.024821557,-0.024552858,0.05856555,0.037688028,-0.011266288,-0.026417393,-0.010946141,-0.023355894,0.06934706,-0.025263928,0.046023145,-0.016774751,-0.025314065,0.08241347,-0.08690232,0.0119582275,0.060345627,0.013611158,-0.088921316,-0.010414606,-0.017200263,0.04769744,-0.05839427,0.049459573
8,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__,-0.0020552573,0.012256209,-0.019349385,-0.00035992212,-0.015523967,-0.020249017,-0.015308971,0.045604512,0.013153933,0.016269272,-0.017233172,0.008574603,0.021676986,-0.0055109416,-0.004849242,-0.017518658,0.0220673,-0.050744347,-0.0013071735,0.050984696,-0.0143699255,-0.035872687,0.029548056,0.01408967,-0.031320855,0.013297932,-0.045806088,0.017489007,0.041888066,-0.036807407,0.021236809,0.033499688,-0.027177557,-0.008824611,0.02434534,0.008965487,0.013548102,0.018782882,-0.030482616,-0.018198924,0.043314204,0.03745939,0.026054643,0.02903141,-0.012823619,-0.05308664,-0.023515746,-0.02087944,-0.04478152,0.0121374205,-0.099931285,-0.028129285,0.008847815,0.004140528,-0.00989943,-0.027311413,0.0042739087,0.0063332375,-0.023768645,0.00974705,-0.030949082,-0.005164612,-0.00044374724,-0.024540108,0.068781994,0.010096516,0.009042411,0.031086104,-0.026988624,-0.015512065,0.033193745,0.004358272,-0.045335483,0.02896669,0.04159752,-0.02111915,0.009218707,-0.032745592,0.026883034,0.037513644,0.00817387,0.011929672,-0.013684274,-0.018992519,0.025573984,-0.03221534,-0.022558074,-0.0016011633,-0.017478429,0.024109263,-0.025366502,0.04227892,0.046181284,0.014596935,-0.04456498,-0.048021063,0.011767376,0.06497821,-0.0052738935,-0.02237526,-0.00756943,-0.03483052,0.012922265,0.02762639,0.033408165,0.0069746356,0.021006899,0.01741914,-0.029872436,-0.030097451,-0.0029997684,0.0064992514,0.009017935,0.0054524634,0.022154266,0.0071865814,-0.00048465456,0.0049220156,-0.00024020803,-0.013691792,0.021351209,-0.03228822,0.008491785,0.028461983,0.055833615,0.00033736505,-0.011359288,0.007496776,-0.058568697,-0.00627841,0.028486066,-0.009090746,-0.024435895,0.012058551,0.015365642,0.013049872,0.03165189,0.00093684765,0.008002764,0.014237213,0.016350271,0.01908071,-0.047828775,0.020682145
9,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__,-0.03183562,-0.0005867664,0.0020074511,-0.024420898,0.0029602838,0.038341947,-0.0062985215,0.026069421,-0.0014312519,-0.028751466,0.01621444,0.027431523,-0.019044299,0.05501317,-0.03995127,-0.033310086,-0.011113958,-0.009346956,-0.034429207,0.004045164,0.010948555,-0.02834319,-0.066136606,0.083535746,0.033032175,0.049541492,0.054496136,0.030816667,-0.03335181,-0.020362832,0.038362797,-0.03578883,0.0118150525,-0.051503997,0.047740445,-0.07732901,0.009434069,0.044875875,-0.02865632,0.00952576,0.040739674,-0.011542421,-0.0289407,-0.060629625,-0.02812459,-0.010055653,0.014742791,0.022818316,-0.019917198,0.004709143,-0.022546187,-0.013731479,-0.05666893,-0.020266408,0.016367272,0.046969343,0.060696177,0.0022009832,-0.009634247,0.07431816,-0.06509827,0.06546996,0.0065519717,0.040666867,-0.029280934,-0.062860675,0.0417194,-0.0038166835,0.042145204,0.025103964,-0.027878763,-0.09056466,0.038763132,0.0048626144,-0.003127608,-0.057317935,0.016295152,0.0372385,-0.06380561,0.039539505,-0.058432948,0.06836086,0.0028040358,0.02575325,0.023206802,-0.029014697,-0.007820329,0.026969943,0.042053785,-0.011381203,-0.036852375,0.02802419,-0.05317079,0.091528445,-0.051872898,-0.032887768,-0.09806056,0.036341604,0.021593895,0.03488668,-0.018433463,0.021604966,0.03813616,-0.03932835,0.030149462,0.05140667,-0.039486505,0.023985652,-0.03676634,0.04918459,-0.054472122,-0.05510722,-0.008949781,0.024401441,-0.073826164,-0.0036802422,0.06984053,0.0065842317,0.024788892,0.050088238,0.046027083,-0.009778051,-0.008815498,0.016180228,0.0019536235,-0.041617475,-0.011497557,0.009662278,0.026752897,0.006709065,0.053498287,-0.03913944,0.016031982,0.014314533,-0.050523687,0.013360648,-0.008303057,0.016049653,-0.03515708,0.026424056,-0.008815526,0.030004177,-0.01595744,0.011515271
