,cluster,bact_name
0,0,Bifidobacterium
1,0,Collinsella
3,0,Adlercreutzia
5,1,Phocaeicola
6,1,Barnesiella
7,0,CABJAA01
8,1,Coprobacter
9,1,Butyricimonas
10,1,Odoribacter
11,1,Alistipes
12,1,Alistipes_A
13,1,Parabacteroides
14,1,Desulfovibrio
15,1,Clostridium_AQ
16,2,Longicatena
17,0,Streptococcus
19,1,Borkfalkia
20,1,Scatosoma
22,1,PeH17
23,1,Phil1
24,1,UBA10677
26,3,Onthenecus
27,1,UBA11524
28,1,Christensenella
29,1,NSJ-63
30,1,QANA01
31,1,QALW01
32,1,Spyradocola
33,0,Clostridium
34,1,Eubacterium
35,1,Anaerotignum
36,0,Acetatifactor
37,0,Agathobacter
38,0,Anaerostipes
39,0,Blautia_A
40,0,Butyribacter
41,1,CAG-45
42,1,Choladocola
43,0,Clostridium_Q
44,1,Enterocloster
45,4,Eubacterium_G
46,1,Faecalimonas
47,1,Hungatella
48,1,KLE1615
49,1,Lachnospira
50,1,Mediterraneibacter
51,0,Monoglobus
54,0,Anaeromassilibacillus
55,0,CAG-177
56,0,CAG-217
57,1,Hydrogeniiclostridium
58,1,JAGZMM01
59,0,Ruminococcus_E
60,0,UMGS1071
61,0,Agathobaculum
62,1,Pseudobutyricicoccus
63,1,Avispirillum
64,1,An92
65,1,CAG-83
66,1,Dysosmobacter
67,1,Flavonifractor
68,1,Intestinimonas
69,0,NSJ-51
70,1,Oscillibacter
71,0,UBA2658
73,1,Avimicrobium
74,0,Faecalibacterium
75,0,Gemmiger
76,1,Hydrogenoanaerobacterium
77,1,Phocea
78,0,QANG01
79,1,Ruminococcus
80,0,Ruminococcus_D
82,1,CAG-238
83,1,Fimisoma
84,0,Intestinibacter
85,0,Romboutsia
87,1,Merdicola
88,0,Fenollaria
89,0,CAG-41
90,1,Phascolarctobacterium_A
91,1,Dialister
92,2,Veillonella
93,1,Parasutterella
94,1,Sutterella
96,1,Haemophilus_D
