Compound	KEGG	HMDB	High.Confidence.Annotation
2-Hydroxy-4-methylpentanoate	C03264	HMDB0000665	True
2,4-Diaminobutyrate	C03283	HMDB0002362	True
3-Hydroxybutyrate	C01089	HMDB0000357	True
3-Phenylpropionate	C05629	HMDB0000764	True
4-Amino-3-hydroxybutyrate	C03678	HMDB0061877	True
4-Methyl-5-thiazoleethanol	C04294	HMDB0032985	True
5'-Deoxyadenosine	C05198	HMDB0001983	True
5-Aminolevulinate	C00430	HMDB0001149	True
5-Aminovalerate	C00431	HMDB0003355	True
5-Hydroxyindoleacetate	C05635	HMDB0000763	True
5-Hydroxylysine	C16741	HMDB0000450	True
5-Oxoproline	C01879	HMDB0000267	True
6-Hydroxyhexanoate	C06103	HMDB0012843	True
Adipate	C06104	HMDB0000448	True
ADMA	C03626	HMDB0001539	True
alpha-Aminoadipate	C00956	HMDB0000510	True
Azelate	C08261	HMDB0000784	True
Betaine	C00719	HMDB0000043	True
Betaine aldehyde	C00576	HMDB0001252	True
Biotin	C00120	HMDB0000030	True
Carnitine	C00318	HMDB0000062	True
Castanospermine	C02256		True
Cholate	C00695	HMDB0000619	True
Citrulline	C00327	HMDB0000904	True
Creatine	C00300	HMDB0000064	True
Creatinine	C00791	HMDB0000562	True
Cystine	C00491	HMDB0000192	True
DCA	C04483	HMDB0000626	True
Decanoate	C01571	HMDB0000511	True
Dihydrouracil	C00429	HMDB0000076	True
Dodecanedioate	C02678	HMDB0000623	True
Gln	C00064	HMDB0000641	True
Glu	C00025	HMDB0000148	True
Glutarate	C00489	HMDB0000661	True
Guanidinoacetate	C00581	HMDB0000128	True
Heptanoate	C17714	HMDB0000666	True
Hexanoate	C01585	HMDB0000535	True
His	C00135	HMDB0000177	True
Hypoxanthine	C00262	HMDB0000157	True
Met	C00073	HMDB0000696	True
Methionine sulfoxide	C02989	HMDB0002005	True
N-Acetylglutamate	C00624	HMDB0001138	True
N-Acetylmuramate	C02713	HMDB0060493	True
N-Acetylputrescine	C02714	HMDB0002064	True
N-epsilon-Acetyllysine	C02727	HMDB0000206	True
N-Methylalanine	C02721	HMDB0094692	True
N-Methylglutamate	C01046	HMDB0062660	True
N1,N12-Diacetylspermine	C03413	HMDB0002172	True
N6,N6,N6-Trimethyllysine	C03793	HMDB0001325	True
N8-Acetylspermidine	C01029	HMDB0002189	True
o-Acetylcarnitine	C02571	HMDB0000201	True
Ophthalmate	C21016	HMDB0005765	True
Ornithine	C00077	HMDB0000214	True
p-Aminobenzoate	C00568	HMDB0001392	True
Pentanoate	C00803	HMDB0000892	True
Phe	C00079	HMDB0000159	True
Phthalate	C01606	HMDB0002107	True
Pimelate	C02656	HMDB0000857	True
Pipecolate	C00408	HMDB0000070	True
Pro	C00148	HMDB0000162	True
Purine riboside	C01736	HMDB0029956	True
Putrescine(1,4-Butanediamine)	C00134	HMDB0001414	False
Pyridoxal	C00250	HMDB0001545	True
Pyridoxamine	C00534	HMDB0001431	True
Saccharopine	C00449	HMDB0000279	True
Sebacate	C08277	HMDB0000792	True
Serotonin	C00780	HMDB0000259	True
Synephrine	C04548	HMDB0004826	True
Taurine	C00245	HMDB0000251	True
Taurocyamine	C01959	HMDB0003584	True
Thymidine	C00214	HMDB0000273	True
trans-Zeatin	C00371	HMDB0012204	True
Tyr	C00082	HMDB0000158	True
UDP-N-acetylglucosamine	C00043	HMDB0000290	True
Uridine	C00299	HMDB0000296	True
Xanthine	C00385	HMDB0000292	True
