,metab_name,cluster
0,N-Methylalanine,0
1,Dodecanedioate,1
2,Creatine,2
3,Sebacate,1
4,Creatinine,2
5,Azelate,0
6,N-Acetylglutamate,0
7,5-Aminovalerate,2
8,Glutarate,0
9,p-Aminobenzoate,1
10,"Putrescine(1,4-Butanediamine)",2
11,Pipecolate,0
12,Hexanoate,1
13,Betaine,2
14,Pentanoate,0
15,Glu,3
16,3-Phenylpropionate,0
17,N-Acetylputrescine,2
18,"N6,N6,N6-Trimethyllysine",2
19,Heptanoate,1
20,o-Acetylcarnitine,4
21,ADMA,2
22,Taurine,2
23,Cholate,4
24,Adipate,0
26,5-Hydroxylysine,4
27,6-Hydroxyhexanoate,1
28,Pimelate,1
29,"2,4-Diaminobutyrate",1
30,His,2
31,Betaine aldehyde,1
32,N-epsilon-Acetyllysine,0
33,Ophthalmate,4
34,Citrulline,5
35,5-Hydroxyindoleacetate,1
36,4-Amino-3-hydroxybutyrate,1
37,Pyridoxal,1
38,Phe,5
39,Methionine sulfoxide,5
40,Biotin,1
41,Pyridoxamine,0
42,Guanidinoacetate,2
43,N8-Acetylspermidine,6
44,Tyr,5
45,Taurocyamine,1
46,Ornithine,5
47,trans-Zeatin,1
48,Gln,2
49,Saccharopine,6
50,Purine riboside,1
51,Met,5
52,Cystine,5
53,2-Hydroxy-4-methylpentanoate,5
54,Phthalate,1
55,DCA,0
56,5'-Deoxyadenosine,1
57,"N1,N12-Diacetylspermine",4
58,5-Aminolevulinate,6
59,Carnitine,2
60,Xanthine,5
61,Thymidine,3
62,alpha-Aminoadipate,6
63,4-Methyl-5-thiazoleethanol,0
64,N-Methylglutamate,1
65,UDP-N-acetylglucosamine,7
66,Synephrine,1
67,5-Oxoproline,5
68,Serotonin,1
69,Castanospermine,1
70,Dihydrouracil,7
71,3-Hydroxybutyrate,2
72,Decanoate,1
73,N-Acetylmuramate,3
74,Pro,5
75,Hypoxanthine,5
76,Uridine,3
