,cluster,bact_name
0,0,Oceaniglobus
1,1,Flemingibacterium
2,2,F0428
3,2,Lachnoanaerobaculum
4,2,Carnobacterium_A
5,1,GCA-900066755
6,1,Monoglobus
7,1,Pararhizobium
8,2,PD-1
9,1,CAG-448
10,3,MGBC122484
11,3,Sutterella
12,1,CAG-177
13,1,Sporobacter
14,4,UMGS1494
15,5,RUG191
16,2,Siminovitchia
17,5,UMGS1307
18,1,UMGS1387
19,2,Mycobacterium
20,4,Selenomonas
21,1,Chlorobaculum
22,1,Marvinbryantia
23,2,Alcanivorax
24,1,UBA7177
25,3,RGIG4057
26,1,Faecivivens
27,0,Zag111
28,1,SIG672
29,1,CAG-45
30,2,Gilliamella
31,1,BOG-234
32,3,Veillonella_A
33,4,Serratia
34,1,Emergencia
35,2,GCA-2753565
36,5,Olsenella_D
37,1,Bacillus
38,1,Faecousia
39,2,Cellulophaga
40,1,Faecivicinus
41,1,UBA866
42,4,Alloprevotella
43,1,Aphodovivens
44,0,Anaerotignum
45,2,UBA999
46,5,Paenibacillus_C
47,2,Roseivirga
48,5,Parabacteroides_B
49,2,Escherichia
50,3,Oecophyllibacter
51,0,Sulfurospirillum
52,1,Mediterraneibacter_A
53,1,Nitrobacter
54,1,UMGS973
55,1,Duncaniella
56,4,Paenibacillus
57,4,UBA4372
58,1,Coprocola
59,1,UMGS882
60,4,UBA4285
61,6,CAG-873
62,5,Aliarcobacter
63,1,Avoscillospira_A
64,1,Angelakisella
65,1,Sharpea
66,2,Agrobacterium
67,5,UBA1195
68,5,Eubacterium
69,6,Luminiphilus
70,2,Sodalis_B
71,3,Pedobacter
72,1,UBA1405
73,1,HGM12713
74,6,Paenisporosarcina
75,1,Lawsonibacter
76,0,Allopseudarcicella
77,5,COE1
78,0,Erysipelothrix
79,2,Hymenobacter
80,1,JAHAAN01
81,0,Phascolarctobacterium_A
82,1,Enterosoma
83,1,AF33-28
84,1,Pseudolachnospira
85,1,RUG11977
86,1,HGM11808
87,2,Clostridium_F
88,1,Borkfalkia
89,5,UMGS1370
90,1,UBA3263
91,1,Ruegeria
92,1,Mucinivorans
93,2,Liquorilactobacillus
94,1,UBA737
95,2,Rossellomorea
96,0,Catenibacterium
97,1,Syntrophaceticus
98,1,RUG626
99,0,Ruminiclostridium_E
100,5,UBA1227
101,5,QAKR01
102,3,Rs1
103,2,Romboutsia
104,3,Salinivibrio
105,2,Cronobacter
106,1,Scatovivens
107,1,Ancylomarina
108,3,CACNYO01
109,5,Edaphobacter
110,0,HGM11386
111,5,Merdimorpha
112,1,Fournierella
113,3,RUG11237
114,3,Fimimorpha
115,2,Aquiflexum
116,6,Azobacteroides
117,2,Ornithinibacillus
118,0,Alkaliphilus
119,1,Ga0077560
120,2,Rosenbergiella
121,1,RGIG2163
122,1,Mobilitalea
123,2,Rouxiella
124,6,Vannielia
125,3,Modestobacter
126,1,Spirosoma
127,0,UMGS1590
128,1,Bariatricus
129,6,Desulfobacter
130,5,Eubacterium_Q
131,1,CAG-345
132,2,Veillonella
133,0,Fimadaptatus
134,2,Gleimia
135,2,Yersinia
136,1,Desulfosporosinus
137,1,Wolbachia
138,1,UBA7173
139,1,Kineothrix
140,2,Leuconostoc
141,1,Merdivivens
142,4,Chimaeribacter
143,3,Niallia
144,3,MGBC136627
145,1,Gemmata
146,1,Howiella
147,3,Massiliomicrobiota
148,3,BOG-930
149,1,CAG-1193
150,2,Samsonia
151,1,CAG-1024
152,3,Phocaeicola
153,3,Erysipelatoclostridium
154,4,Sporosarcina
155,1,Azospirillum
156,1,UMGS1820
157,6,Edwardsiella
158,4,UMGS1502
159,5,UBA7109
160,0,C7867-001
161,3,Anaerostipes
162,3,Acidovorax_A
163,1,Mageeibacillus
164,0,UMGS1864
165,1,UMGS1851
166,6,Desulfovibrio
167,2,Acidibacillus_A
168,1,Acutalibacter
169,5,CAG-603
170,6,RGIG4079
171,6,Draconibacterium
172,5,Luxibacter
173,2,Anaerococcus
174,2,Trabulsiella
175,4,Proteiniphilum
176,1,SIG710
177,6,Anaeromassilibacillus
178,1,HGM11616
179,3,NK4A144
180,0,Traorella
181,3,Gorillibacterium
182,5,Actinoplanes
183,4,CAIVAT01
184,1,CAG-115
185,2,Erwinia
186,2,Enterobacter_D
187,1,1XD8-76
188,1,Pseudoruminococcus_B
189,5,Dyella
190,1,Avelusimicrobium
191,1,Eisenbergiella
192,5,MD308
193,0,Halomonas_E
194,1,RGIG7114
195,5,HGM11530
196,1,Lacrimispora
197,1,UBA1784
198,1,RGIG1874
199,2,Sinobacterium
200,1,Butyrivibrio_A
201,6,Floccifex
202,1,UMGS1384
203,3,Psychrobacillus
204,1,UBA1774
205,2,Rahnella
206,1,UBA5884
207,5,Faecalicoccus
208,2,Robinsoniella
209,0,UBA1685
210,1,Gemmiger
211,5,Pullilachnospira
212,1,Sphaerochaeta
213,1,Calidifontibacillus
214,0,JAAYOP01
215,2,Halobacillus
216,5,Coprousia
217,1,HUN007
218,3,Gallispira
219,1,F1-20-MAGs160
220,0,Frisingicoccus
221,2,Serratia_A
222,5,Devosia
223,1,Harryflintia
224,1,UBA1447
225,5,Leadbetterella
226,1,Paralachnospira
227,1,UBA7050
228,1,Eubacterium_G
229,1,Afipia
230,1,Limivicinus
231,6,Caryophanon
232,1,UBA5905
233,5,DSCM01
234,0,Pseudophaeobacter
235,6,Thauera
236,5,Leucobacter
237,2,Marinoscillum
238,2,Clostridium_H
239,1,CAJFUR01
240,1,Tractidigestivibacter
241,2,Ga0077554
242,1,HGM13222
243,5,Clostridium_AI
244,2,Citrobacter_C
245,5,Pelethocola
246,5,Aureimonas
247,0,UMGS1975
248,4,Thioflexothrix
249,5,Anaerofustis
250,2,Aromatoleum
251,3,Lachnoclostridium
252,2,Gemella
253,1,HGM16780
254,2,Marinobacter
255,3,Anaeromusa
256,2,Morganella
257,1,UMGS1312
258,5,Lachnoclostridium_B
259,1,Amulumruptor
260,1,Halochromatium
261,1,Clostridium_J
262,6,Lysobacter
263,1,Parolsenella
264,3,Clostridium_B
265,2,Shimwellia
266,1,Caccosoma
267,1,Phil1
268,1,Fimimonas
269,3,Desulfamplus
270,0,Coprobacillus
271,0,Copromorpha
272,5,HGM11521
273,5,Flavonifractor
274,2,Coprovivens
275,0,CAG-1000
276,2,Salmonella
277,2,Listeria
278,1,SFJ001
279,6,Fen-1258
280,1,Rhizomicrobium
281,0,UBA7405
282,1,RUG762
283,1,Porcincola
284,1,UBA3305
285,1,Sneathiella
286,1,Merdivicinus
287,3,Bifidobacterium
288,0,Pelethousia
289,5,CAG-307
290,1,Youngiibacter
291,5,Sporolactobacillus
292,5,JAGZHZ01
293,2,Pararheinheimera
294,6,Thiovulum
295,3,Achromobacter
296,1,RUG14243
297,5,GCA-2401725
298,0,Amylibacter
299,1,CAG-83
300,2,Finegoldia
301,1,Cryptobacteroides
302,3,Lactococcus
303,6,Pseudomonas
304,3,Rikenella
305,5,Burkholderia
306,2,Streptomyces
307,3,Gulosibacter
308,4,Bulleidia
309,5,Faecalibacillus
310,2,Desertactinospora
311,3,Terrisporobacter
312,2,Kushneria
313,1,Solibaculum
314,2,Ochrobactrum
315,1,Intestinimonas
316,2,Endoriftia
317,5,Lachnospira
318,0,CAG-964
319,5,Brevibacillus
320,1,Stoquefichus
321,5,JAAYQI01
322,1,Raoultibacter
323,1,Ramlibacter
324,5,UBA1754
325,5,MGBC124762
326,1,Coprovicinus
327,6,Telluribacter
328,2,Bacillus_A
329,3,Aerococcus
330,5,Catenibacillus
331,1,Bittarella
332,6,Larkinella
333,2,Acinetobacter
334,2,Sanguibacter
335,1,Faecalitalea
336,1,Clostridium_E
337,1,CAG-488
338,3,Parasutterella
339,5,Amedibacillus
340,5,MGBC113645
341,2,Enterococcus_A
342,1,Lacticaseibacillus
343,6,Desulfovibrio_R
344,1,Baileyella
345,4,Coprococcus
346,1,Firm-04
347,3,Confluentibacter
348,0,Ruminococcus_E
349,2,Pasteurella
350,1,RGIG3528
351,2,Mixta
352,2,Serratia_D
353,5,UBA2882
354,1,SFDP01
355,5,JAHALF01
356,1,Hydrogenoanaerobacterium
357,1,UBA4644
358,5,Hungatella_A
359,6,MVYY01
360,2,Brumimicrobium
361,0,Johnsonella
362,0,Chlorobium
363,2,Rothia
364,5,Brevefilum
365,1,Thermoclostridium
366,0,Rubrivivax
367,1,Rhodoferax
368,1,RGIG8745
369,1,Coprobacter
370,1,Paraprevotella
371,1,CAJPPJ01
372,1,JACRCG01
373,4,UBA1765
374,3,Arachnia
375,2,Enterovibrio
376,0,SLNP01
377,3,XBB2008
378,6,Choladousia
379,1,UBA738
380,3,Alteromonas
381,1,Avoscillospira
382,1,RGIG4709
383,0,Pseudodesulfovibrio
384,1,Palsa-295
385,5,Limenecus
386,1,RGIG9079
387,0,Pseudobacter
388,4,Muricauda
389,2,Companilactobacillus
390,3,Haemophilus
391,4,Jejubacter
392,4,UBA7597
393,1,MGBC113161
394,1,Firm-10
395,6,Fibrobacter
396,6,Stenotrophomonas
397,1,UBA6024
398,1,CAG-170
399,1,KLE1615
400,4,Photobacterium
401,2,Oribacterium
402,1,SIG483
403,1,Avimicrobium
404,0,Saccharibacillus
405,6,Coprenecus
406,0,Paludibaculum
407,3,Clostridium_AK
408,6,Stercorousia
409,5,Dorea_A
410,1,SZUA-582
411,1,AC2028
412,0,Jejuia
413,1,Dysosmobacter
414,5,Butyrivibrio
415,1,UMGS856
416,2,Macrococcus_B
417,4,Leptotrichia_A
418,1,HGM04593
419,6,UMGS872
420,5,Mediterraneibacter
421,1,Odoribacter
422,4,Bacteroides_H
423,3,Peptoniphilus
424,4,Clostridium_A
425,0,Propionivibrio
426,1,SZUA-53
427,3,Scybalomonas
428,4,UBA636
429,1,Gibbsiella
430,2,Nitrincola
431,6,Runella
432,3,Alkalihalobacillus
433,3,VUNI01
434,2,Flavobacterium
435,2,Sodalis_A
436,4,Zymobacter
437,4,QFNR01
438,2,Peptacetobacter
439,4,Flammeovirga
440,3,Methyloprofundus
441,3,GCA-2718895
442,6,Petrimonas
443,5,UBA3210
444,6,Succinivibrio
445,1,Ruthenibacterium
446,2,Nostoc
447,4,Atlanticothrix
448,4,Ochrobactrum_A
449,2,Pectobacterium
450,2,RGIG9060
451,5,Reichenbachiella
452,1,UMGS1865
453,3,Clostridium_L
454,1,Spirillospora
455,1,UMGS755
456,2,Halomonas
457,1,Ventricola
458,1,Alistipes_A
459,3,Faecalimonas
460,1,UMGS1322
461,1,1XD42-69
462,4,UBA1786
463,1,PeH17
464,5,UBA4293
465,5,UBA945
466,1,Alistipes
467,4,Pseudescherichia
468,5,Enterococcus
469,2,Bradyrhizobium
470,1,D16-34
471,1,NSJ-50
472,4,Lactobacillus
473,1,SFHK01
474,1,SIG332
475,5,Parabacteroides
476,5,Paenibacillus_A
477,2,Mangrovibacter
478,3,RGIG8607
479,1,Propionicimonas
480,0,RUG440
481,2,Shewanella
482,0,Pullichristensenella
483,2,Nanogingivalis
484,3,Merdimonas
485,2,Gelidibacter
486,1,Choladocola
487,1,Slackia_A
488,5,CAJPSE01
489,5,Longibaculum
490,3,OLB9
491,1,Instestinimonas_A
492,1,WRMH01
493,1,Methylobacterium
494,4,Pseudanabaena
495,5,UBA8316
496,3,Aminipila
497,2,Chryseobacterium
498,2,Budvicia
499,1,Nocardia
500,1,Firm-07
501,0,RBG-16-49-21
502,3,Peribacillus
503,1,Pseudocolwellia
504,0,Onthousia
505,6,CAG-433
506,4,Tannerella
507,2,Lactiplantibacillus
508,1,Silicimonas
509,1,RUG13583
510,6,UBA3789
511,5,Ensifer
512,1,51-20
513,4,Symbiopectobacterium
514,5,Brevundimonas
515,1,CAG-882
516,2,Colwellia
517,0,Arthrobacter_I
518,1,UBA1752
519,5,Faecimorpha
520,3,Aquimarina
521,1,Solidesulfovibrio
522,1,Caccoplasma
523,1,CAG-1427
524,2,Moraxella
525,2,Bowmanella
526,5,UBA1258
527,3,Polaribacter
528,1,Fimivicinus
529,1,Faeciplasma
530,3,MGBC114844
531,2,Silvanigrella
532,1,CAG-841
533,1,Luteimonas
534,3,RGIG1668
535,4,JACROS01
536,4,Neorhizobium
537,3,Lacibacter
538,1,CAG-632
