,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
4-hydroxy-proline,0.7421052631578948,0.6842105263157895,0.7456140350877193,0.719298245614035,0.7666666666666666,0.6105263157894737,0.7105263157894737,0.7140350877192982,0.7280701754385965,0.7140350877192982,0.7135087719298246
(4-oxoproline),0.7228070175438598,0.7596491228070175,0.712280701754386,0.6807017543859648,0.6245614035087719,0.7228070175438598,0.6263157894736843,0.6614035087719298,0.6754385964912282,0.7052631578947368,0.6891228070175439
ergothioneine,0.7210526315789473,0.6842105263157895,0.6333333333333333,0.6526315789473683,0.6368421052631579,0.6631578947368422,0.6789473684210526,0.6684210526315789,0.531578947368421,0.6578947368421053,0.6528070175438596
asparagine,0.6368421052631579,0.6771929824561403,0.7385964912280703,0.612280701754386,0.6614035087719298,0.6385964912280702,0.5508771929824561,0.6666666666666666,0.6175438596491227,0.6333333333333333,0.6433333333333333
serine,0.6736842105263158,0.6385964912280702,0.5877192982456141,0.6736842105263158,0.5964912280701754,0.5754385964912281,0.6508771929824562,0.6929824561403508,0.6596491228070176,0.6736842105263158,0.642280701754386
pantothenate,0.6701754385964912,0.6491228070175438,0.612280701754386,0.6298245614035087,0.612280701754386,0.6315789473684211,0.6421052631578947,0.6684210526315789,0.5526315789473685,0.687719298245614,0.6356140350877192
"3',5'-cyclic-AMP",0.6684210526315789,0.7175438596491229,0.48245614035087714,0.7070175438596492,0.6684210526315789,0.6789473684210526,0.5912280701754385,0.6508771929824562,0.37543859649122807,0.6719298245614035,0.6212280701754386
(dehydroalanine),0.6192982456140351,0.5824561403508772,0.6421052631578947,0.6087719298245614,0.6315789473684211,0.5666666666666667,0.5877192982456141,0.6631578947368422,0.5701754385964912,0.6105263157894737,0.6082456140350877
urocanate,0.6175438596491227,0.5649122807017544,0.5631578947368421,0.5947368421052631,0.524561403508772,0.6280701754385966,0.5947368421052631,0.6280701754385966,0.5824561403508772,0.6701754385964912,0.5968421052631578
glutamate,0.6859649122807018,0.6526315789473683,0.6807017543859648,0.543859649122807,0.5280701754385965,0.5982456140350877,0.5736842105263157,0.5877192982456141,0.4245614035087719,0.6701754385964912,0.5945614035087718
xanthine,0.5684210526315789,0.5789473684210525,0.6052631578947367,0.5421052631578946,0.5771929824561403,0.556140350877193,0.5789473684210525,0.5912280701754385,0.5421052631578946,0.6245614035087719,0.5764912280701755
(3-methyladenine),0.5701754385964912,0.5824561403508772,0.4964912280701754,0.5859649122807017,0.5701754385964912,0.524561403508772,0.6105263157894737,0.6192982456140351,0.5596491228070175,0.5982456140350877,0.5717543859649122
aminoadipic acid,0.6052631578947367,0.5912280701754385,0.6052631578947367,0.5754385964912281,0.5298245614035089,0.6070175438596491,0.4929824561403509,0.5578947368421052,0.556140350877193,0.5631578947368421,0.568421052631579
