,4-hydroxy-proline,(4-oxoproline),ergothioneine,asparagine,serine,pantothenate,"3',5'-cyclic-AMP",(dehydroalanine),urocanate,glutamate,xanthine,(3-methyladenine),aminoadipic acid,aspartate,(glycero-3-phosphoethanolamine),"(2,3-dihydroxy-3-methylbutanoate)",adenosine,fumarate,glutamine,lactate,monosaccharide (glucose),thymine,biotin,xylitol,(queuine),adenine,inosine,hypoxanthine
rplo 1 (Cyanobacteria),-0.0096363,0.017875789,0.018155852,0.014954529,0.0133347325,-0.020420713,-0.019720085,0.012539465,-0.019103605,0.020717409,-0.019829841,-0.01268343,-0.010107192,0.0126752965,-0.00446624,-0.019904565,0.0131483255,-0.0069422377,0.022024991,-0.015085075,-0.012306958,-0.015801456,0.013838389,-0.017748987,0.0041669444,0.0008227069,0.011794713,-0.0111936815
rplo 2 (Firmicutes),0.020211363,-0.021534963,-0.023823654,-0.020819142,-0.018970387,0.023614464,0.021542234,-0.01988323,0.02438713,-0.023751704,0.024702776,0.022557778,0.021486383,-0.021907287,0.008920011,0.021320488,-0.018927323,0.020779448,-0.022652216,0.011856001,0.020842604,0.02330406,-0.01469063,0.02581055,0.0025659616,0.0059236144,-0.019984791,0.020687154
rplo 60 (Firmicutes),0.017850276,-0.01887641,-0.021179687,-0.021248428,-0.017679336,0.017149642,0.017647007,-0.021617683,0.01739379,-0.018142367,0.019467989,0.018171495,0.01364771,-0.021252668,0.00035479263,0.021796638,-0.019739522,0.013162311,-0.017608918,0.013908658,0.0076640295,0.019834366,-0.019656997,0.01348598,-0.015086332,-0.008556748,-0.011319646,0.0118971
rplo 10 (Firmicutes),0.018080436,-0.021136455,-0.017904114,-0.020332463,-0.017874664,0.020242827,0.023541426,-0.020620113,0.021111174,-0.02279152,0.019873694,0.019879773,0.016150711,-0.0205862,0.012981523,0.018438317,-0.014706211,0.014842843,-0.018353926,0.0050186114,0.010981405,0.017655378,-0.011782654,0.02132506,0.0015129009,0.003046069,-0.022789089,0.010792743
rplo 100 (Proteobacteria),-0.0056231064,-0.0025819847,0.0035683147,0.005310452,-0.0015767067,0.006570922,0.002886288,0.009488712,0.0025520297,-0.010922308,0.0021103772,-0.00093931897,-0.0065068835,0.007484874,0.0055935895,-0.002820085,0.012742248,-0.00782894,-0.010552179,-0.0068865865,0.0032351199,-0.003944995,0.00606571,0.0062124156,0.019008381,0.018041646,-0.011188066,-0.0048621465
rplo 101 (Proteobacteria),0.011591005,-0.01536075,-0.01331551,-0.006775394,-0.01580466,0.012398368,0.016776484,-0.016799426,0.016274659,-0.011302706,0.010843051,0.01486125,0.005812905,-0.017931344,0.014523923,0.013233048,-0.007449459,0.008684825,-0.006504004,-0.005129033,-0.00097106444,0.008348638,-0.0037700236,0.017361984,0.00679732,0.006271588,-0.021794584,0.0029500953
rplo 103 (Actinobacteria),0.010447116,-0.0045964136,-0.009087127,-0.0024696619,0.0034883884,0.0074753957,0.009232276,-0.0010432539,0.0086107915,-0.0018864627,0.0051774248,0.01184248,0.0026629388,-0.0019337172,0.018906169,0.0048656226,-0.00605805,0.0055529517,-0.004718983,-0.0078061954,0.002515681,0.006848359,0.003812761,0.0038652027,0.008249528,0.015057173,-0.008694724,0.0033295418
rplo 106 (Acidobacteria),0.0025725283,-0.0020452484,-0.001140454,0.006486439,-0.0005460699,0.003276746,-0.0013358424,0.0027343077,-0.0019265864,-0.00602444,0.0013644001,0.0028948782,-0.004283273,-0.002114035,0.0012267806,0.0005740267,0.004513113,0.0040294128,-0.0052041835,-0.010758497,0.0062666833,-0.0020697608,0.010426925,0.010516188,0.015044646,0.004634792,-0.0031235642,-0.0018423796
rplo 108 (Actinobacteria),-0.002486197,0.012132599,0.0069208937,0.0062781535,0.006674854,-0.009641579,-0.0115251755,0.00734344,-0.013627946,0.01538213,-0.008253802,0.00048535832,0.0021344956,0.00921589,-0.008022793,-0.012036477,-0.0002663923,0.004456222,0.008754146,-0.006118269,0.0026716737,-0.0032181328,0.00440108,-0.008687575,-0.005174748,0.0028277505,0.009307641,0.0032588
rplo 11 (Proteobacteria),-0.006065451,-0.00032917797,0.0003858823,-0.007400453,-0.007256087,-0.0038681857,-0.0068340814,-0.0054588355,-0.0068739112,0.0035123206,0.0014611005,-0.008357456,0.007017415,-0.00393751,-0.025002507,0.0050376207,-0.0067727356,0.00087386643,-0.00016974319,0.015469026,0.010922631,0.0020081818,-0.011347248,-0.001261997,-0.023232402,-0.024859728,0.0145026315,0.0074832295
rplo 110 (Proteobacteria),-0.014376399,0.0071324115,0.016293542,0.017839042,0.012219992,-0.0054748827,-0.0037227462,0.019440126,-0.00951259,0.00032658235,-0.011582001,-0.013153754,-0.023808792,0.018663881,0.00855007,-0.011722264,0.022687195,-0.024687268,0.002483484,-0.018883636,-0.014191546,-0.01754032,0.017356474,-0.0089356825,0.01771391,0.01119221,-0.0017575354,-0.021971533
rplo 111 (Actinobacteria),-0.009451073,0.008494946,0.013839563,0.007884364,0.0067504323,-0.01186441,-0.010955164,0.007041872,-0.011211303,0.0050132964,-0.011935524,-0.012727167,-0.013218627,0.0078812605,-0.0044419253,-0.008802839,0.010483481,-0.01119749,0.007904049,-0.0065981657,-0.015974265,-0.012781595,0.008046584,-0.012747572,0.0023528063,-0.0119003225,0.0077731805,-0.015620352
rplo 113 (unknown),-0.013569003,0.015556513,0.010661551,0.014823755,0.019663017,-0.01493156,-0.01657764,0.018496854,-0.018174928,0.010849156,-0.016155038,-0.015192473,-0.01600587,0.017135613,-0.008060609,-0.01200176,0.012637854,-0.007867302,0.0074972305,-0.0045483843,-0.008894779,-0.019236825,0.013986387,-0.013081179,0.0026825822,-0.008295512,0.020589616,-0.017323367
rplo 115 (Acidobacteria),-0.013860861,0.014039623,0.015967384,0.017685186,0.016544932,-0.010908029,-0.011368984,0.019662973,-0.014640426,0.012747908,-0.014574945,-0.009899233,-0.014401585,0.019536676,0.0063507603,-0.016273208,0.017490413,-0.0092981495,0.011872738,-0.019323217,-0.0034855432,-0.013574341,0.016756086,-0.009582081,0.011037193,0.014413898,0.00925439,-0.012035841
rplo 116 (unknown),-0.0011085978,0.0011644693,-0.0010044496,-0.008867144,0.0036288248,-0.0052639283,-0.005495385,-0.0024494862,-0.002764139,0.0026185776,-0.0020903996,-0.0068705445,0.0019805476,-0.00077865645,-0.008135453,0.0038302166,-0.0063353805,0.0008388668,0.0009834575,0.01061118,-0.0010823085,0.0009168003,-0.006183097,-0.00958299,-0.015708331,-0.01958775,0.014491661,-0.0010679408
rplo 119 (Actinobacteria),-0.004293332,0.002526511,0.008176634,0.0054136575,0.002639253,-0.002417532,-0.0048080697,0.005626879,-0.0062308037,-0.004801724,-0.0027689924,-0.008014197,-0.009486103,0.004218453,-0.007423212,-0.0037490083,0.00789415,-0.009879592,-0.0013459146,-0.0013779262,-0.0042565214,-0.0051414073,0.004009076,-0.0032595613,0.003114297,-0.0076622055,0.00428364,-0.006962188
