#all species associated with D015212: Inflammatory Bowel Diseases; Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS.
#in total 605 valid runs were included in GMrepo.
#please consult our web site for more details.
phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance
D015212	species	40520	Blautia obeum	Bacteria	296	1.49751546418919	0.6228575	2.78042805662068	
D015212	species	33039	[Ruminococcus] torques	Bacteria	292	0.998357718219178	0.30567	1.73798236837606	
D015212	species	820	Bacteroides uniformis	Bacteria	280	5.68447594310714	2.882645	7.00050857750012	
D015212	species	28116	Bacteroides ovatus	Bacteria	277	2.15920900433213	1.11035	3.08189066931491	
D015212	species	208479	[Clostridium] bolteae	Bacteria	276	0.349617858695652	0.0838047	0.893472956897454	
D015212	species	33038	[Ruminococcus] gnavus	Bacteria	274	1.38853605514599	0.19234	3.96374724126529	
D015212	species	1304	Streptococcus salivarius	Bacteria	273	1.15655260025641	0.16571	3.1778640601501	
D015212	species	821	Bacteroides vulgatus	Bacteria	268	4.39117911093284	1.42165	7.94681663886167	
D015212	species	39491	[Eubacterium] rectale	Bacteria	263	5.46457007718631	2.81716	6.95286229800705	
D015212	species	1308	Streptococcus thermophilus	Bacteria	262	0.742062255725191	0.0974285	2.03619429776086	
D015212	species	1512	[Clostridium] symbiosum	Bacteria	258	0.371673412093023	0.1093745	0.823648557383515	
D015212	species	818	Bacteroides thetaiotaomicron	Bacteria	255	1.51768077301961	0.591566	3.0395257833088	
D015212	species	729	Haemophilus parainfluenzae	Bacteria	243	0.45536616327572	0.0552113	1.7231645618654	
D015212	species	166486	Roseburia intestinalis	Bacteria	243	2.26163147057613	0.30792	5.3242022718722	
D015212	species	261299	Intestinibacter bartlettii	Bacteria	243	0.224964858683128	0.06484	0.470426698238262	
D015212	species	39485	[Eubacterium] eligens	Bacteria	241	1.90689304526971	0.84581	2.95288239106123	
D015212	species	39486	Dorea formicigenerans	Bacteria	238	0.38955705407563	0.204811	0.55546352829536	
D015212	species	216816	Bifidobacterium longum	Bacteria	236	3.25267884351695	1.029275	6.39977754314165	
D015212	species	853	Faecalibacterium prausnitzii	Bacteria	235	8.739521828	8.31757	5.48742355175945	
D015212	species	301301	Roseburia hominis	Bacteria	231	0.610397516190476	0.146102	1.28169107369704	
D015212	species	371601	Bacteroides xylanisolvens	Bacteria	231	0.813029408961039	0.181188	2.46688578973961	
D015212	species	357276	Bacteroides dorei	Bacteria	228	3.05406015912281	0.50175	5.05248583857955	
D015212	species	39488	[Eubacterium] hallii	Bacteria	225	0.5603132276	0.217698	0.85457377776931	
D015212	species	823	Parabacteroides distasonis	Bacteria	224	1.0326190146875	0.279214	1.66918802491285	
D015212	species	218538	Dialister invisus	Bacteria	220	2.41930488485	0.5440755	3.50059087954451	
D015212	species	1535	[Clostridium] leptum	Bacteria	218	0.32526403793578	0.1276165	0.735537168312747	
D015212	species	410072	Coprococcus comes	Bacteria	217	0.963892554050691	0.606105	1.20632328188412	
D015212	species	46503	Parabacteroides merdae	Bacteria	213	1.41095923873239	0.865373	1.78396441018973	
D015212	species	562	Escherichia coli	Bacteria	212	1.19605511981132	0.0605737	5.74338531760791	
D015212	species	29466	Veillonella parvula	Bacteria	212	0.712589792698113	0.0449808	3.35215748585852	
D015212	species	487175	Parasutterella excrementihominis	Bacteria	209	0.680290268325359	0.105392	2.54044358382449	
D015212	species	47678	Bacteroides caccae	Bacteria	208	1.81176866538462	0.603215	3.53703371293986	
D015212	species	328813	Alistipes onderdonkii	Bacteria	205	1.42124256697561	0.245391	3.26263804461258	
D015212	species	28117	Alistipes putredinis	Bacteria	204	2.09928204985294	0.9987215	2.96881831332387	
D015212	species	84112	Eggerthella lenta	Bacteria	202	0.0557778369306931	0.0274975	0.0817923894613466	
D015212	species	46506	Bacteroides stercoris	Bacteria	201	2.74255267930348	0.302015	6.37721145741057	
D015212	species	817	Bacteroides fragilis	Bacteria	200	1.5762656714	0.388031	4.93731673836269	
D015212	species	88431	Dorea longicatena	Bacteria	200	0.71468226875	0.38334	1.06778660902072	
D015212	species	61171	Holdemania filiformis	Bacteria	197	0.0473880448832487	0.0270785	0.0522502569141791	
D015212	species	33035	Blautia producta	Bacteria	196	0.197549731556122	0.02961545	0.811754218043773	
D015212	species	239935	Akkermansia muciniphila	Bacteria	194	1.40607318891753	0.0648828	3.21598579160842	
D015212	species	74426	Collinsella aerofaciens	Bacteria	193	1.07309934295337	0.34094	1.72349296778518	
D015212	species	360807	Roseburia inulinivorans	Bacteria	193	0.996334110880829	0.24544	1.72205878598102	
D015212	species	169435	Anaerotruncus colihominis	Bacteria	189	0.137788974920635	0.0731346	0.183155741797474	
D015212	species	39490	Eubacterium ramulus	Bacteria	186	0.242566142526882	0.119277	0.286370964076375	
D015212	species	1547	Erysipelatoclostridium ramosum	Bacteria	180	0.0762943713333333	0.02728505	0.179531304045965	
D015212	species	328814	Alistipes shahii	Bacteria	180	0.503383264333333	0.2180265	0.789624437549478	
D015212	species	292800	Flavonifractor plautii	Bacteria	178	0.175467835741573	0.026115	0.305286462259232	
D015212	species	1680	Bifidobacterium adolescentis	Bacteria	177	1.42044253180791	0.38959	2.80268017450631	
D015212	species	39778	Veillonella dispar	Bacteria	176	0.1834044618125	0.02472	0.528445985455969	
D015212	species	471189	Gordonibacter pamelaeae	Bacteria	174	0.0565377077413793	0.0173806	0.112634073923718	
D015212	species	154046	Hungatella hathewayi	Bacteria	171	0.254301799649123	0.0196828	1.01799771575375	
D015212	species	39777	Veillonella atypica	Bacteria	170	0.417861707058824	0.02025	2.17586598057407	
D015212	species	246787	Bacteroides cellulosilyticus	Bacteria	170	0.736965559411765	0.1073925	1.47115916218723	
D015212	species	39496	Eubacterium ventriosum	Bacteria	169	0.25224060952071	0.138391	0.318002593606168	
D015212	species	28118	Odoribacter splanchnicus	Bacteria	168	1.05776486303571	0.54837	1.94957034015666	
D015212	species	1358	Lactococcus lactis	Bacteria	167	0.152750238802395	0.01791	0.71331461537938	
D015212	species	40518	Ruminococcus bromii	Bacteria	167	1.48305234952096	0.30856	2.50495875724954	
D015212	species	39492	[Eubacterium] siraeum	Bacteria	166	0.819467009518072	0.0685738	1.91014491413676	
D015212	species	35833	Bilophila wadsworthia	Bacteria	165	0.107170590872727	0.034298	0.210735547973366	
D015212	species	28037	Streptococcus mitis	Bacteria	164	0.189907495182927	0.0327161	0.734278742294413	
D015212	species	29347	[Clostridium] scindens	Bacteria	164	0.0284198916829268	0.00759316	0.0631523996343492	
D015212	species	40519	Ruminococcus callidus	Bacteria	161	0.774741845279503	0.24753	0.975852923109534	
D015212	species	165179	Prevotella copri	Bacteria	159	5.69671851566038	0.0538426	12.3576956912773	
D015212	species	358743	[Clostridium] citroniae	Bacteria	158	0.0471717870253165	0.01324415	0.175731643908496	
D015212	species	28026	Bifidobacterium pseudocatenulatum	Bacteria	156	0.925565202115385	0.209568	2.50393662802566	
D015212	species	204516	Bacteroides massiliensis	Bacteria	154	1.50290216220779	0.262675	2.72875187954206	
D015212	species	1318	Streptococcus parasanguinis	Bacteria	152	1.04759776315789	0.0859	5.05574747619275	
D015212	species	46228	Ruminococcus lactaris	Bacteria	152	0.607941700394737	0.0801802	1.22374157474018	
D015212	species	1264	Ruminococcus albus	Bacteria	150	0.237913561133333	0.0160424	0.723009314244841	
D015212	species	446660	Adlercreutzia equolifaciens	Bacteria	148	0.174224791885135	0.04618	0.298376935189691	
D015212	species	1681	Bifidobacterium bifidum	Bacteria	147	1.22173660301361	0.160757	3.44756321430519	
D015212	species	105841	Anaerostipes caccae	Bacteria	145	0.0583274588965517	0.0139037	0.170555715951754	
D015212	species	214856	Alistipes finegoldii	Bacteria	145	0.396868608482759	0.13794	0.741304520718743	
D015212	species	329854	Bacteroides intestinalis	Bacteria	141	0.523275544397163	0.077352	1.42717505016323	
D015212	species	1343	Streptococcus vestibularis	Bacteria	139	0.112462362374101	0.0184688	0.392780745239072	
D015212	species	1685	Bifidobacterium breve	Bacteria	139	0.799527434489209	0.0236014	3.45462746526411	
D015212	species	1689	Bifidobacterium dentium	Bacteria	137	0.543383538613139	0.0678349	1.57387687124068	
D015212	species	53443	Blautia hydrogenotrophica	Bacteria	137	0.0826469002335766	0.0257235	0.168661183163462	
D015212	species	658087	Lachnospiraceae bacterium 7_1_58FAA	Bacteria	137	0.105359708029197	0.06465	0.137545234804995	
D015212	species	658089	Lachnospiraceae bacterium 5_1_63FAA	Bacteria	137	0.296599781021898	0.10834	0.506585873745635	
D015212	species	333367	[Clostridium] asparagiforme	Bacteria	136	0.126369191176471	0.035965	0.34140257593694	
D015212	species	457412	Ruminococcus sp. 5_1_39BFAA	Bacteria	134	4.58509104477612	2.950915	4.9751601890611	
D015212	species	29348	[Clostridium] spiroforme	Bacteria	133	0.54297894518797	0.305201	0.883594304835111	
D015212	species	649756	Anaerostipes hadrus	Bacteria	132	0.284540606060606	0.079465	0.923048324474759	
D015212	species	43675	Rothia mucilaginosa	Bacteria	130	0.0848390877461538	0.006309045	0.536378207578866	
D015212	species	69825	[Clostridium] indolis	Bacteria	130	0.333863422	0.164117	0.487918950020289	
D015212	species	84026	[Clostridium] methylpentosum	Bacteria	129	0.104545441317829	0.0335327	0.345926499022175	
D015212	species	351091	Oscillibacter valericigenes	Bacteria	128	0.74250957265625	0.396577	1.10881623400595	
