,bact_name,4-hydroxystyrene,p-hydroxyphenylacetate,phenyllactate,azelate,sebacate,myristic acid,dodecanedioic acid,palmitic acid,tetradecanedioate,stearic acid,hexadecanedioic acid,eicosapentaenoic acid,arachidonic acid,eicosatrienoic acid,eicosenoate,12.13-diHOME,docosahexaenoic acid,carnosol,docosapentaenoic acid,adrenic acid,palmitoylethanolamide,nervonic acid,docosapentaenoic acid ,lithocholic acid,chenodeoxycholate,deoxycholic acid,7-ketodeoxycholate,alpha-muricholate,cholate,glycolithocholic acid,glycodeoxycholic acid,oleanolic acid,maslinic acid,taurolithocholic acid,taurochenodesoxycholic acid,taurodeoxycholic acid,urobilin,sphingosine,cholesterol,cholestenone,beta-sitosterol,propionate,alanine,oxalate,lactate,2-aminobutyric acid,malonate,alpha-hydroxybutyrate,serine,uracil,proline,alpha-ketoisovalerate,caproic acid,valine,succite,threonine,4-hydroxybenzaldehyde,nicotinate,4-methylcatechol,taurine,thymine,acetylalanine,leucine,aspartate,malate,adenine,hypoxanthine,phenylacetate,salicylate,4-nitrophenol,caprylic acid,alpha-ketoglutarate,2-hydroxyglutarate,methionine,tartarate,xylose,hydrocinnamic acid,guanine,xanthine,ribitol,histidine,orotate,imidazolelactate,fucose,phenylalanine,L-phenyllactic acid,urate,shikimate,suberate,arginine,citrulline,ascorbate,tyrosine,homovanillate,sorbitol,4-pyridoxate,azelaic acid,N-acetylglutamate,citrate,glucurote,tryptophan,1-3-7-trimethylurate,pantothete,cystine,pentadecanoate,pseudouridine,deoxyinosine,inosine,lactose,lithocholate,glycocholate,putrescine,beta-alanine,choline,cytosine,histamine,creatinine,N-acetylputrescine,betaine,nicotinic acid,pyroglutamic acid,pipecolic acid,hydroxyproline,creatine,isoleucine,asparagine,ornithine,1-methylnicotinamide,trigonelline,2-hydroxyphenethylamine,urocanic acid,imidazole propionate,4-guanidinobutanoic acid,butyrobetaine,acetylcholine,glutamine,lysine,glutamate,triethanolamine,pyridoxamine,carnitine,methionine sulfoxide,1-methylguanine,7-methylguanine,3-methylxanthine,3-methylhistidine,dimethyllysine,N-acetylspermidine,trimethyllysine,kynurenic acid,N-acetylglutamic acid,N-acetylhistidine,5-acetylamino-6-amino-3-methyluracil,ADMA,pantothenate,carnosine,anserine,2-deoxyadenosine,thiamine,atenolol,diacetylspermine,sphinganine,phytosphingosine,bilirubin,urobilin*
0,Acidaminococcus_unclassified,0.008804184,0.02882684,0.002728195,-0.006465327,-0.0055155493,-0.0012989772,-0.018382128,-0.0034184146,-0.016598772,-0.014456611,-0.022925626,0.0016381369,-0.0026061027,0.018217452,0.0025547214,0.012211479,0.0021233754,-0.00956436,0.012527876,0.011504965,0.022515643,-0.005448075,0.014976187,-0.018836623,0.021832356,-0.022550803,-0.01607894,0.014063629,0.019039527,-0.003517934,-0.008113729,0.0056113563,-0.0067238417,0.00039859265,0.007585749,0.0009770714,-0.025989331,-0.009324368,0.003638099,-0.0148359295,0.0063648177,0.01657743,0.0084691355,0.016467972,-0.0014004518,0.013435571,0.01453403,0.0030366417,0.0093669025,0.007287975,0.001558263,0.012283598,-0.009459194,0.010659504,0.0041743494,0.008521476,0.0053217458,0.011402831,-0.0018009252,0.010541009,0.005899932,0.013834157,0.0077990424,0.015993655,0.009308501,-0.012178417,0.0062221503,0.01981202,0.0046239663,0.01508059,-0.0029819577,0.009363371,0.012568119,0.011731966,-0.0012437187,-0.007033335,-0.026289063,-0.0024515844,0.010356666,-0.0023241248,-0.0021397064,0.0076651885,0.0062007327,0.004939044,0.007075295,0.01721352,-0.009244675,-0.000628194,-0.0019293115,-0.007832525,0.009014939,0.012809211,0.0053147734,0.014283504,0.0067751603,0.013015059,-0.0036114908,-0.009295091,-0.012671501,0.016055608,0.006593642,-0.003429586,-0.0025101034,-0.0007773191,-0.015534773,-0.007684375,0.0036743728,-0.023157282,0.017710065,-0.0100227855,0.019175295,0.022778304,0.014695822,0.0012157417,0.020389678,0.022722796,0.011776788,0.027676567,0.0035115727,0.008531586,-0.006349344,0.0044693854,0.00028176763,0.010958369,0.005370725,0.006182249,-0.014479437,0.013016132,0.02121617,0.010587023,-0.0027697554,0.017006302,0.031895377,0.018378736,-0.008964695,0.002938555,-0.00080972916,0.0019043003,-0.016406829,-0.0025022852,-0.0063837403,-0.014601114,-0.009912116,0.012083986,0.018140996,0.0043090577,0.009888855,0.017274221,0.012222718,-0.0010222985,-0.013489114,-0.004618257,-0.0025703209,0.014779582,0.0056135976,-0.024908684,0.015745332,0.004627106,0.0061512617,0.013954826,0.017579379,-0.012000914,0.01249708,-0.005289748,-0.023987759
1,Adlercreutzia_equolifaciens,0.0025849282,-0.034342084,0.012967344,0.03702942,0.03552237,-0.02370728,0.01965151,-0.01475579,-0.032507215,-0.0015972042,-0.011287031,-0.050398797,-0.056619607,-0.045848355,-0.01113091,-0.033444844,-0.048737016,0.033816256,-0.043502122,-0.045583483,-0.033059105,0.005912396,-0.03878747,0.044135116,-0.06429545,0.035654705,0.05947665,-0.04417424,-0.06611306,0.02322752,0.025435649,0.029803324,0.020841215,-0.013278544,-0.049965,0.0032563664,0.062037576,-0.035522982,-0.032266144,0.064727336,-0.014183997,0.0063646045,-0.024751732,-0.03625627,-0.0492208,-0.028115828,-0.055592865,-0.05650802,-0.015199687,-0.00016891863,-0.016630344,0.0036960184,0.030943502,-0.026147716,-0.05238123,-0.019139886,0.015373519,0.013344336,0.036747083,-0.048829287,0.0028511656,-0.032062624,-0.026685527,-0.021942206,-0.021811321,9.100352e-05,-0.0037136006,0.038522888,-0.05147829,-0.021401625,0.011931133,-0.0076120906,-0.010652169,-0.0049117277,-0.041096076,0.0029015848,0.028473234,0.02981853,-0.0015664044,-0.029245788,-0.04991417,0.0031516417,-0.048152715,-0.03836483,-0.031264618,-0.024318703,0.007460438,0.013117902,0.044615082,-0.038407233,-0.0024252674,0.02260369,-0.018777743,-0.013943047,-0.0463403,0.006850841,0.04326631,0.010392129,-0.025316326,0.016941834,-0.03424089,0.031341616,-0.021541888,-0.046479043,0.050509606,0.0031935012,0.0032939282,0.014675107,-0.029307295,0.048337847,-0.048731714,-0.044177365,-0.032368723,-0.047423482,-0.0150949145,-0.025110401,-0.048496097,-0.0564191,-0.046728235,0.015084164,-0.03239654,0.04130643,-0.044182688,-0.05874411,-0.016539373,-0.01872753,-0.03166493,-0.015474203,-0.016889669,-0.048629522,0.002328449,-0.013596824,-0.037250735,-0.011405467,0.041598953,-0.019983111,-0.020231245,-0.005624231,-0.006207875,0.04529018,-0.042581476,-0.031529583,-0.03280962,-0.022610843,-0.0016060736,-0.04006125,-0.050704047,-0.037660234,-0.05005828,-0.03134743,0.022920594,-0.018354205,0.040575493,-0.064669006,0.008225325,-0.024323216,-0.02433656,-0.0073669916,0.01851563,-0.043333765,-0.058632255,0.027814446,-0.065583356,-0.028962247,0.06186153
2,Akkermansia_muciniphila,-0.036496352,-0.0057663955,-0.025838906,0.05102616,0.041217823,0.0021106815,0.034090802,-0.002934174,-0.021118147,0.006380211,-0.0059101707,-0.047630068,-0.04482428,-0.04656977,0.001239733,-0.047142528,-0.050423346,0.019215336,-0.04068135,-0.04233507,-0.02709548,0.0034908846,-0.028848257,0.012046593,-0.044159323,0.001809688,0.029447746,-0.02234132,-0.03659082,0.011243695,-0.0045956355,0.02041846,0.014320705,-0.03339179,-0.034154568,-0.018887723,0.045546155,-0.014644396,-0.04468904,0.053826626,-0.038911413,0.015546139,0.0030227283,-0.020560488,-0.040973324,0.01249812,-0.03848002,-0.03349852,0.0069168312,0.023321772,0.005760744,0.02476523,0.042458817,0.0044403556,-0.034604333,0.0009634989,0.01717733,0.01299638,0.030381296,-0.044891182,0.022251122,-0.01237278,-1.4835927e-05,0.001594087,0.0047149677,0.01558074,0.009425447,0.04766154,-0.045032404,-0.042035814,0.033664383,0.0058961404,0.006058946,0.021358117,-0.038706157,0.030047305,0.027046593,0.010115734,0.011861807,-0.016199807,-0.03973641,0.023530236,-0.016144563,-0.036081444,-0.003561234,0.001936448,0.005931276,0.024036206,0.058567844,-0.041333918,0.0048892912,0.03224927,-0.00030037912,0.020834802,-0.022244507,0.008463155,0.056566242,0.036440957,-0.041582156,0.017644685,-0.0076188385,0.037718486,-0.01805169,-0.03121188,0.056451578,0.022268727,0.024540955,0.0018275445,-0.011242644,0.020714242,-0.028380428,-0.016897582,0.0075989617,-0.04537435,-0.0025023283,-0.0064696707,-0.02850551,-0.033268753,-0.040477704,0.012765643,-0.029299056,0.02321966,-0.034565948,-0.03464717,0.00591826,-0.010821079,-0.029709613,-0.023141092,-0.025237372,-0.0073578525,0.017125716,-0.019267129,-0.0309331,-0.020805493,0.034500107,-0.0063230954,-0.011560023,0.01725253,-0.015665445,0.038438987,-0.021828547,-0.033459987,-0.0064058453,-0.027047513,-0.013966235,-0.038237177,-0.03371248,-0.029060809,-0.025402674,-0.029458957,0.037624534,-0.02282827,0.045288324,-0.028586429,0.0014025462,-0.033943623,-0.020708978,0.013026855,0.03136497,-0.020637944,-0.053243138,0.025031723,-0.0515011,-0.034773808,0.051253673
3,Alistipes_finegoldii,-0.022972617,-0.020124096,-0.016124314,0.030297583,0.026675845,0.008099551,0.022821872,0.0113994945,0.01073566,0.02421098,0.021769006,-0.017628072,-0.006487661,-0.027341371,0.0059149056,-0.029499145,-0.015592716,0.017054923,-0.025411926,-0.018167553,-0.037725113,0.01851679,-0.028384952,0.0147109665,-0.038185585,0.010876916,0.025811141,-0.038093626,-0.03185862,0.0026396874,0.00045110245,0.013240406,0.008074532,-0.01967702,-0.020373499,-0.011829703,0.03370631,-0.013050334,-0.021499064,0.036256686,-0.021268833,-0.0106581915,-0.0069646,-0.02348487,-0.0059291054,-0.013332324,-0.018070802,-0.009053473,-0.009576035,-0.002655907,-0.0020632597,0.0014875069,0.02154658,-0.011705875,-0.011576409,-0.009307021,0.014115106,-0.009751814,0.015893659,-0.021398127,-0.0023329342,-0.01089931,-0.009471441,-0.0073395194,-0.008109448,0.018807609,-0.0029063046,0.012988887,-0.027306916,-0.019826801,0.009914382,-0.005128318,0.009402019,-0.0056681577,-0.0070406483,0.0057778074,0.020953229,0.014057961,-0.0056447797,0.0015365696,-0.017867869,-0.002438207,-0.01512019,-0.0067907856,-0.012756231,-0.011853863,0.010701534,0.010051639,0.029354181,-0.014234054,-0.009113285,0.0066555,-0.011626046,-0.0036120438,-0.009051001,-0.005677638,0.029222721,0.013144333,0.0044558365,-0.0021762168,-0.013591186,0.018198881,-0.011498796,-0.0131418435,0.029587574,-0.00315977,-0.003999619,-0.0025554458,-0.017285133,0.011171949,-0.019444395,-0.025436698,-0.020350987,-0.009990694,-0.02333705,-0.0188882,-0.0179929,-0.0325179,-0.0027991207,-0.010271221,-0.011604275,0.008725863,-0.009000819,-0.012477645,-0.011107201,-0.012051452,-0.00639943,-0.02248436,-0.023953237,-0.015508838,-0.004464244,-0.015103707,-0.031813353,-0.02069327,0.011762602,-0.010956682,-0.011221379,0.0013775779,0.014307197,0.008421511,-0.006084254,0.0016489184,-0.011346333,-0.02220245,-0.01726519,-0.019889528,-0.021450799,-0.039458394,-0.01702595,-0.010291424,0.017402994,-0.008579356,0.016735835,-0.024309611,-0.014857501,0.0068112817,-0.0077978284,-0.0051668137,0.006833775,-0.026433086,-0.044947624,0.0023469927,-0.040710103,-0.0113356495,0.034249652
4,Alistipes_indistinctus,-0.032593686,-0.041074175,-0.01831424,0.035102796,0.03304585,0.013729173,0.036639072,0.022687588,-0.0075635808,0.035675213,-0.009971438,-0.035202824,-0.03575499,-0.045355454,0.025783047,-0.030711196,-0.040453292,0.024142358,-0.03967995,-0.0428243,-0.034254853,0.030137394,-0.034391686,0.029641483,-0.05112284,0.022838935,0.040784746,-0.033671077,-0.04421455,0.0044303243,0.012491513,0.015998382,0.018896084,-0.017747615,-0.023154464,-0.0068405895,0.05247598,-0.013075042,-0.04502169,0.048519284,-0.03376078,-0.0145254675,-0.03298429,-0.05243478,-0.02942426,-0.033678617,-0.033477455,-0.032464024,-0.029432688,-0.014698321,-0.024063399,-0.018279819,0.03552617,-0.035520267,-0.035817266,-0.03207707,-0.0047297943,0.008690365,0.03986079,-0.05536602,-0.0212253,-0.031024061,-0.035128485,-0.021830255,-0.028638586,0.029604612,-0.009458622,0.029233046,-0.0345574,-0.027378976,0.032295655,-0.036525056,-0.0020484433,-0.017662473,-0.004866824,0.0025728364,0.031257663,0.029047793,-0.015596986,-0.011983208,-0.027976403,-0.013099801,-0.025346203,-0.03072128,-0.03646119,-0.03760975,0.003108523,0.010287888,0.028729238,-0.026730144,-0.027783178,0.0020054409,-0.03321251,-0.019373335,-0.02409497,-0.02976099,0.04240433,0.027381461,0.004921037,0.011092734,-0.038903367,0.038419873,-0.007489931,-0.04175561,0.047518376,-0.012431311,-0.016958,-0.0041517066,-0.020520875,0.02978443,-0.024803288,-0.05039857,-0.024523156,-0.034923103,-0.0094673475,-0.0464665,-0.038202666,-0.057325568,-0.022733245,0.005440842,-0.029683564,0.0069542076,-0.006128245,-0.031138051,-0.031213481,-0.033067178,-0.024423897,-0.024688195,-0.031839505,-0.021863589,-0.020746846,-0.027743941,-0.04637749,-0.027432375,0.022247503,-0.0322457,-0.03104162,-0.0095745595,0.0025169405,0.021274054,-0.02827338,-0.017832506,-0.00894629,-0.0531042,-0.041945472,-0.02816502,-0.049102392,-0.04757408,-0.036312345,-0.012736682,0.042210594,-0.033360586,0.030125806,-0.045147777,-0.0010752925,0.014386253,-0.011327779,-0.019449865,0.014172646,-0.035345707,-0.05133024,0.011801499,-0.045615297,-0.01943987,0.053959824
5,Alistipes_onderdonkii,-0.013113001,-0.030164361,-0.006086441,0.01564543,0.015348367,0.0039690975,0.018805305,0.014421655,0.0023960283,0.027252851,0.011328709,-0.020093985,-0.017205413,-0.02495431,0.0072752144,-0.021743743,-0.020299487,0.017318621,-0.021962542,-0.01968077,-0.026582576,0.024938975,-0.022271752,0.016287278,-0.02776761,0.015016327,0.023703365,-0.020106267,-0.025719378,-0.005383598,0.005873578,0.010073312,0.0043361518,-0.0120838145,-0.016147278,-0.007970115,0.03095138,-0.011751774,-0.019775314,0.028260145,-0.01063054,-0.016598206,-0.02575935,-0.03259485,-0.015340048,-0.029899223,-0.01819521,-0.024211273,-0.02582041,-0.01817935,-0.021441381,-0.01976568,0.01144046,-0.029545136,-0.01912794,-0.026059153,-0.003954478,-0.001039495,0.017778039,-0.030310588,-0.021748846,-0.021688607,-0.02782471,-0.020012686,-0.02726588,0.019169644,-0.015875429,0.0068667666,-0.019082233,-0.0063839243,0.009642604,-0.026631465,0.001802374,-0.018543286,0.0020558839,-0.008072169,0.0100694075,0.016837854,-0.019971201,-0.00561368,-0.015257792,-0.02003142,-0.014600889,-0.009300461,-0.028868068,-0.02881859,0.0030240142,0.0032957501,0.014718694,-0.007970081,-0.024423312,-0.0019216462,-0.0266694,-0.020204728,-0.014212697,-0.011990007,0.018427478,0.010446552,0.017414603,-0.003158255,-0.029084742,0.018686522,-0.0012343453,-0.027519397,0.03071443,-0.018600257,-0.015173498,0.00092367036,-0.017909193,0.014623923,-0.016903168,-0.03582213,-0.026441474,-0.020324519,-0.010498665,-0.028598195,-0.019073557,-0.036729336,-0.009306145,0.0013704706,-0.019315042,0.0073922793,0.00137463,-0.012560463,-0.02682342,-0.022832224,-0.014245272,-0.010529828,-0.019035835,-0.020482177,-0.019474505,-0.012132875,-0.03379301,-0.013375443,0.012324385,-0.026121534,-0.02623128,-0.01304565,0.014896549,0.005074674,-0.010532239,-0.002763964,-0.011709835,-0.025960073,-0.018239493,-0.015102463,-0.031125432,-0.036079504,-0.024692053,-0.0053660083,0.022658397,-0.021956732,0.014435538,-0.030530887,-0.0041445266,0.019973353,-0.001106352,-0.015718633,0.002985029,-0.022239279,-0.03298484,0.0017390917,-0.03523719,0.0007845677,0.03138907
6,Alistipes_putredinis,-0.033965066,-0.06159741,-0.014497882,0.02932035,0.027489047,0.0052747657,0.034554582,0.033036582,-0.016204951,0.06382613,0.013118117,-0.056997728,-0.055862144,-0.07204332,0.027355047,-0.053172532,-0.06462655,0.06068079,-0.070645414,-0.0674897,-0.065169,0.047873672,-0.067221075,0.03790562,-0.06872502,0.03341221,0.051979035,-0.043785,-0.064931974,-0.021842677,0.010964478,0.037781045,0.02068224,-0.03571048,-0.035989814,-0.018704789,0.078733176,-0.033606943,-0.069727235,0.06626662,-0.041459203,-0.029290743,-0.08406387,-0.08309517,-0.051204406,-0.08066634,-0.05274584,-0.06539495,-0.07532197,-0.0483284,-0.0720012,-0.065337785,0.0363098,-0.08987693,-0.060463034,-0.08053622,-0.027612714,-0.00045884613,0.06401783,-0.078491345,-0.06351703,-0.07665686,-0.086631775,-0.06546595,-0.07440695,0.04333389,-0.03981109,0.026674908,-0.040644754,-0.016248973,0.0314122,-0.078999415,-0.007733252,-0.055244006,0.0025965527,-0.029479038,0.04329232,0.050137132,-0.050035797,-0.030901209,-0.054195657,-0.056013748,-0.0393899,-0.0335358,-0.08862925,-0.08447014,-0.015004491,0.0054101213,0.029447038,-0.027419744,-0.063067496,-0.0031882273,-0.07742339,-0.06162722,-0.046607465,-0.037721228,0.038882565,0.019489124,0.036998156,0.0078074257,-0.089260235,0.054692153,-0.008788031,-0.08517656,0.067528516,-0.046357993,-0.040720444,-0.003622818,-0.057050366,0.03970535,-0.038872287,-0.08330828,-0.06232028,-0.05340036,-0.012659035,-0.08336468,-0.061096426,-0.08154464,-0.02805785,0.013054678,-0.061381914,0.026344102,0.0023883202,-0.04629377,-0.08245131,-0.07735124,-0.046607904,-0.034704853,-0.040148303,-0.050776128,-0.05110219,-0.029430395,-0.075563714,-0.04173878,0.03342313,-0.07725673,-0.07616965,-0.047006544,0.02216072,0.022180237,-0.041040592,-0.030562077,-0.033430725,-0.06660856,-0.0473078,-0.037328597,-0.08376868,-0.07816348,-0.07185,-0.0078199245,0.049825624,-0.066132635,0.042078406,-0.07732876,-0.0049232915,0.042099185,-0.005021957,-0.041175947,0.0032204941,-0.049191322,-0.064656794,0.007266622,-0.07485619,-0.009898345,0.08276663
7,Alistipes_senegalensis,-0.026019119,-0.03665569,-0.016435,0.017852334,0.01567737,0.01752277,0.027214088,0.031875733,0.007144975,0.04512363,0.022688745,-0.01107454,-0.012337654,-0.037949868,0.027169444,-0.0217954,-0.017519932,0.03319196,-0.037867706,-0.039643824,-0.041708175,0.026658518,-0.038117882,0.0112446165,-0.03227453,0.01141583,0.019990118,-0.023136772,-0.02612705,-0.012276078,-0.003386898,0.020619404,0.018809443,-0.007657306,-0.0034865031,-0.007839593,0.040980052,-0.020374568,-0.044217564,0.01946036,-0.0318072,-0.023143353,-0.048384752,-0.047822163,-0.014036467,-0.04553227,-0.014598634,-0.022018204,-0.044363163,-0.03337237,-0.041610908,-0.044229146,0.020892566,-0.05165824,-0.018819636,-0.04755114,-0.025661994,-0.0034093072,0.03759021,-0.034931332,-0.041255478,-0.04124624,-0.04859211,-0.037302393,-0.035929076,0.033449627,-0.020699902,0.0017727234,-0.009928776,-0.011410085,0.023526454,-0.04629456,0.00065682223,-0.040070705,0.019903176,-0.017417492,0.025467133,0.025954304,-0.02972635,-0.0055718953,-0.01769621,-0.03445532,-0.012410356,-0.010860492,-0.050301634,-0.046211854,-0.012557829,-0.001567183,0.011740407,-0.007901838,-0.040701512,-0.010683455,-0.04628594,-0.03467332,-0.012372979,-0.027932195,0.02221047,0.018459003,0.032344364,0.0035226524,-0.049027756,0.024760522,0.0046827076,-0.03795073,0.020837462,-0.028545218,-0.029371032,-0.005179612,-0.02598473,0.010110682,-0.013486606,-0.037285727,-0.035228036,-0.0067971223,-0.0047649574,-0.04503293,-0.030825453,-0.038673196,0.0011312652,0.001518605,-0.026595695,0.0021826515,0.014434552,-0.009502657,-0.048310667,-0.04171956,-0.016571881,-0.020718813,-0.020097278,-0.024499465,-0.031470712,-0.020041114,-0.03693343,-0.027021505,0.0006634521,-0.04192194,-0.0376557,-0.026589924,0.014219036,0.0044177906,-0.016445927,-0.0044520535,-0.0044384743,-0.045890138,-0.045251742,-0.016195798,-0.04138444,-0.044261795,-0.029277854,0.00019336925,0.035415184,-0.028666323,0.009329461,-0.03218628,-0.0044094124,0.034274098,-0.0028705318,-0.015665472,0.0014855885,-0.025855139,-0.031390015,-0.006913241,-0.028415745,-0.0037883213,0.04448547
8,Alistipes_shahii,-0.04297841,-0.05107037,-0.024918292,0.052441526,0.04225462,0.017159993,0.055289246,0.033666216,0.004707613,0.053622913,0.031733923,-0.04354517,-0.045122266,-0.07634717,0.029753469,-0.043225765,-0.050171092,0.052889682,-0.07290267,-0.07117388,-0.06980007,0.030768929,-0.06939397,0.02793363,-0.06930246,0.022692354,0.051701922,-0.055841636,-0.059881758,-0.013149935,0.00046149126,0.038395215,0.03095065,-0.03301657,-0.026658017,-0.02421015,0.08140451,-0.041130573,-0.06787498,0.056163844,-0.042708453,-0.025243467,-0.05632583,-0.066006474,-0.034859642,-0.056303248,-0.038797766,-0.045165613,-0.048881058,-0.029292688,-0.04498482,-0.037115477,0.042736255,-0.060557462,-0.040827427,-0.052264072,-0.017409386,0.0037948764,0.046981983,-0.07001538,-0.0362928,-0.050530907,-0.05688654,-0.042451113,-0.041157145,0.03877814,-0.019763766,0.019556584,-0.035901148,-0.03636043,0.0446783,-0.05086477,0.003992674,-0.037565272,0.0042411373,-0.008935988,0.04475605,0.04135083,-0.029685188,-0.009804232,-0.038754437,-0.02799349,-0.02998082,-0.031953428,-0.059827562,-0.05596821,-0.0019084333,0.015738165,0.039172407,-0.023929639,-0.044319108,0.0020003729,-0.051893406,-0.035548504,-0.026629217,-0.031624533,0.05478431,0.038020182,0.022760056,0.0076714014,-0.063308306,0.047044467,0.0027117792,-0.06172258,0.049457386,-0.019262543,-0.019157765,0.004246856,-0.04769577,0.026104806,-0.037850488,-0.0675364,-0.051254038,-0.0326437,-0.007639214,-0.06511753,-0.05015153,-0.07692763,-0.01613492,0.008574897,-0.039455436,0.014282082,0.0018579486,-0.0357967,-0.05076855,-0.049908042,-0.028259678,-0.036106102,-0.04250301,-0.04429008,-0.026025496,-0.035646264,-0.061396807,-0.045515366,0.020946154,-0.051154062,-0.044365913,-0.022947798,0.014450844,0.027912475,-0.03463207,-0.014859876,-0.003262973,-0.058580127,-0.05631653,-0.03216991,-0.07017182,-0.06838718,-0.046079997,-0.012183327,0.062174965,-0.04060686,0.03498905,-0.06087885,0.0016122961,0.028031148,-0.013261124,-0.018664371,0.012468178,-0.051106825,-0.06477064,-0.000502344,-0.06682924,-0.02547614,0.08483152
9,Alistipes_unclassified,-0.025090493,-0.009155655,-0.019362614,0.04355762,0.034233183,0.003335371,0.03160181,-0.0044399253,0.020832676,0.0058428054,0.029937785,-0.012515837,0.0020428214,-0.023447882,-0.0068757455,-0.027723787,-0.00660467,0.0056750663,-0.02196715,-0.011117909,-0.03826343,0.002151969,-0.02263832,0.010472724,-0.036396056,0.005223734,0.023403557,-0.04421859,-0.028626692,0.0144638745,-0.00033944624,0.008256622,0.0068829493,-0.020496337,-0.018130764,-0.018196411,0.028487932,-0.012006497,-0.010529326,0.035760984,-0.016767694,-0.0029860842,0.023419127,-0.0022283865,0.006768899,0.013667872,-0.012923088,0.006977971,0.018281348,0.020680435,0.027898079,0.031671513,0.021798117,0.018965548,-0.00041087478,0.019427102,0.034441236,-0.0091344435,-0.0016982789,-0.010727398,0.028964614,0.012483526,0.020586055,0.014717613,0.02078816,0.008453113,0.015731469,0.007845702,-0.02613896,-0.028760476,0.006691963,0.02582683,0.013752295,0.015816405,-0.014977584,0.024591498,0.020251079,0.0038199546,0.016438982,0.014776516,-0.012910889,0.025827691,-0.009791699,-0.0040778015,0.01548209,0.018129436,0.025810873,0.0210464,0.03869208,-0.013758803,0.016519375,0.016465906,0.014903933,0.020868862,0.00023687271,0.0018961565,0.037544783,0.022541665,-0.016635519,-0.004537145,0.013639439,0.012802576,-0.01150195,0.010689494,0.022995137,0.024362247,0.020017238,0.004247767,-0.008100722,0.004958787,-0.020518603,-0.008194853,-0.0086164,-0.0017328192,-0.025613809,0.0004345514,-0.008019469,-0.024870245,0.0014550969,-0.013115181,0.005836376,0.0011626428,-0.017413372,-0.009529816,0.01992261,0.012108787,0.012179814,-0.02050133,-0.022431662,-0.008821847,0.019771347,-0.01588177,-0.016764017,-0.0150549915,0.010450992,0.015777206,0.018093487,0.026042914,0.009885777,0.009475574,0.006070874,0.012028187,0.00043878116,-0.007718542,-0.010388848,-0.013794295,-0.0043408917,-0.02462542,0.0011588432,-0.013676689,0.016403913,0.013167888,0.016498778,-0.0108080385,-0.013107006,-0.01031615,-0.01287711,0.010079117,0.011949326,-0.023273764,-0.039271746,0.0032051909,-0.036731917,-0.018864783,0.028447643
